"Table: Armor Class Modifiers"
"Defender is . . .","Melee","Ranged"
"Behind cover","+4","+4"
"Blinded","–2 1","–2 1"
"Concealed or invisible","See Concealment"
"Cowering","–2 1","–2 1"
"Entangled","+0 2","+0 2"
"Flat-footed (such as surprised, balancing, climbing)","+0 1","+0 1"
"Grappling (but attacker is not)","+0 1","+0 1, 3"
"Helpless (such as paralyzed, sleeping, or bound)","–4 4","+0 4"
"Kneeling or sitting","–2","+2"
"Pinned","–4 4","+0 4"
"Prone","–4","+4"
"Squeezing through a space","–4","–4"
"Stunned","–2 1","–2 1"
"1 The defender loses any Dexterity bonus to AC."
"2 An entangled character takes a –4 penalty to Dexterity."
"3 Roll randomly to see which grappling combatant you strike. That defender loses any Dexterity bonus to AC."
"4 Treat the defender’s Dexterity as 0 (–5 modifier). Rogues can sneak attack helpless or pinned defenders."

