"Table: Common Armor, Weapon, and Shield Hardness and Hit Points"
"Weapon or Shield","Hardness","HP 1"
"Light blade","10","2"
"One-handed blade","10","5"
"Two-handed blade","10","10"
"Light metal-hafted weapon","10","10"
"One-handed metal-hafted weapon","10","20"
"Light hafted weapon","5","2"
"One-handed hafted weapon","5","5"
"Two-handed hafted weapon","5","10"
"Projectile weapon","5","5"
"Armor","special 2","armor bonus x 5"
"Buckler","10","5"
"Light wooden shield","5","7"
"Heavy wooden shield","5","15"
"Light steel shield","10","10"
"Heavy steel shield","10","20"
"Tower shield","5","20"
"1 The hp value given is for Medium armor, weapons, and shields. Divide by 2 for each size category of the
            item smaller than Medium, or multiply it by 2 for each size category larger than Medium."
"2 Varies by material."

