"Table: Divine Spellcasting"
"Spells per Day"
"Score","Modifier","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","21st","22nd","23rd","24th","25th"
""
"10–11","+0","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"12–13","+1","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"14–15","+2","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"16–17","+3","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"18–19","+4","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"20–21","+5","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"22–23","+6","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"24–25","+7","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"26–27","+8","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"28–29","+9","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"30–31","+10","2","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"32–33","+11","2","2","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"34–35","+12","2","2","2","—","—","—","—","—","—","—","—","—","—","—","—","—"
"36–37","+13","2","2","2","2","—","—","—","—","—","—","—","—","—","—","—","—"
"38–39","+14","3","2","2","2","2","—","—","—","—","—","—","—","—","—","—","—"
"40–41","+15","3","3","2","2","2","2","—","—","—","—","—","—","—","—","—","—"
"42–43","+16","3","3","3","2","2","2","2","—","—","—","—","—","—","—","—","—"
"44–45","+17","3","3","3","3","2","2","2","2","—","—","—","—","—","—","—","—"
"46–47","+18","4","3","3","3","3","2","2","2","2","—","—","—","—","—","—","—"
"48–49","+19","4","4","3","3","3","3","2","2","2","2","—","—","—","—","—","—"
"50–51","+20","4","4","4","3","3","3","3","2","2","2","2","—","—","—","—","—"
"52–53","+21","4","4","4","4","3","3","3","3","2","2","2","2","—","—","—","—"
"54–55","+22","5","4","4","4","4","3","3","3","3","2","2","2","2","—","—","—"
"56–57","+23","5","5","4","4","4","4","3","3","3","3","2","2","2","2","—","—"
"58–59","+24","5","5","5","4","4","4","4","3","3","3","3","2","2","2","2","—"
"60–61","+25","5","5","5","5","4","4","4","4","3","3","3","3","2","2","2","2"
"etc. . .","","","","","","","","","","","","","","","","",""

