"Table: Epic Leadership"
"Leadership Score","Cohort Level","Number of Followers by Level"
"1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th"
"25","17th","135","13","7","4","2","2","1","—","—","—"
"26","18th","160","16","8","4","2","2","1","—","—","—"
"27","18th","190","19","10","5","3","2","1","—","—","—"
"28","19th","220","22","11","6","3","2","1","—","—","—"
"29","19th","260","26","13","7","4","2","1","—","—","—"
"30","20th","300","30","15","8","4","2","1","—","—","—"
"31","20th","350","35","18","9","5","3","2","1","—","—"
"32","21st","400","40","20","10","5","3","2","1","—","—"
"33","21st","460","46","23","12","6","3","2","1","—","—"
"34","22nd","520","52","26","13","6","3","2","1","—","—"
"35","22nd","590","59","30","15","8","4","2","1","—","—"
"36","23rd","660","66","33","17","9","5","3","2","1","—"
"37","23rd","740","74","37","19","10","5","3","2","1","—"
"38","24th","820","82","41","21","11","6","3","2","1","—"
"39","24th","910","91","46","23","12","6","3","2","1","—"
"40","25th","1000","100","50","25","13","7","4","2","1","—"
"per +1","+1/2*","+100**","†","†","†","†","†","†","†","†","†"

