"Table: Example Special Epic Cohorts"
"Creature","Alignment","Level Equivalent"
"Angel, astral deva","Any good","20nd"
"Dragon, ancient silver","Lawful good","42nd"
"Couatl","Lawful good","16th"
"Giant, cloud","Neutral good","24th"
"Ghaele","Chaotic good","20st"
"Giant, storm","Chaotic good","28th"
"Dragon, wyrm brass","Chaotic good","42th"
"Dragon turtle","Neutral","21st"
"Hydra, 12-headed","Neutral","19th"
"Roc","Neutral","23rd"
"Dragon, ancient green","Lawful evil","40th"
"Devil, ice (gelugon)","Lawful evil","21st"
"Giant, cloud","Neutral evil","24th"
"Demon, glabrezu","Chaotic evil","23rd"
"Demon, succubus","Chaotic evil","12th"
"Dragon, wyrm white","Chaotic evil","41th"

