"Table: Expanded Ability Modifiers and Bonus Spells"
"Spells per Day"
"Score","Modifier","10th","11th","12th","13th","14th","15th","16th","17th","18th","19th","20th","21st","22nd","23rd","24th","25th"
""
"10–11","+0","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"12–13","+1","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"14–15","+2","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"16–17","+3","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"18–19","+4","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"20–21","+5","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"22–23","+6","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"24–25","+7","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"26–27","+8","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"28–29","+9","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"30–31","+10","1","—","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"32–33","+11","1","1","—","—","—","—","—","—","—","—","—","—","—","—","—","—"
"34–35","+12","1","1","1","—","—","—","—","—","—","—","—","—","—","—","—","—"
"36–37","+13","1","1","1","1","—","—","—","—","—","—","—","—","—","—","—","—"
"38–39","+14","2","1","1","1","1","—","—","—","—","—","—","—","—","—","—","—"
"40–41","+15","2","2","1","1","1","1","—","—","—","—","—","—","—","—","—","—"
"42–43","+16","2","2","2","1","1","1","1","—","—","—","—","—","—","—","—","—"
"44–45","+17","2","2","2","2","1","1","1","1","—","—","—","—","—","—","—","—"
"46–47","+18","3","2","2","2","2","1","1","1","1","—","—","—","—","—","—","—"
"48–49","+19","3","3","2","2","2","2","1","1","1","1","—","—","—","—","—","—"
"50–51","+20","3","3","3","2","2","2","2","1","1","1","1","—","—","—","—","—"
"52–53","+21","3","3","3","3","2","2","2","2","1","1","1","1","—","—","—","—"
"54–55","+22","4","3","3","3","3","2","2","2","2","1","1","1","1","—","—","—"
"56–57","+23","4","4","3","3","3","3","2","2","2","2","1","1","1","1","—","—"
"58–59","+24","4","4","4","3","3","3","3","2","2","2","2","1","1","1","1","—"
"60–61","+25","4","4","4","4","3","3","3","3","2","2","2","2","1","1","1","1"
"etc. . .","","","","","","","","","","","","","","","","",""

