"Table: Shield Special Abilities"
"d%","Shield Special Ability","Market Price Modifier 1"
"01–06","Great invulnerability (10/magic)","+4 bonus"
"07–12","Great invulnerability (15/magic)","+5 bonus"
"13–19","Acid warding","+6 bonus"
"20–26","Cold warding","+6 bonus"
"27–33","Fire warding","+6 bonus"
"34–37","Great invulnerability (5/epic)","+6 bonus"
"38–43","Great spell resistance (SR 21)","+6 bonus"
"44–46","Infinite arrow deflection","+6 bonus"
"47–53","Lightning warding","+6 bonus"
"54–60","Sonic warding","+6 bonus"
"61–63","Great invulnerability (10/epic)","+7 bonus"
"64–68","Great spell resistance (SR 23)","+7 bonus"
"69–71","Exceptional arrow deflection","+8 bonus"
"72–75","Great spell resistance (SR 25)","+8 bonus"
"76–78","Great spell resistance (SR 27)","+9 bonus"
"79","Great reflection","+10 bonus"
"80–87","Roll on nonepic magic item Table: Shield Special Abilities, then roll again on this table."
"88–95","Roll twice on nonepic magic item Table: Shield Special Abilities."
"96–100","Roll twice again 2"
"1 Add to enhancement bonus on Table: Epic Armor and Shields to determine total market price."
"2 If you roll a special ability twice, only one counts. If you roll two versions of the same special
            ability, use the better."

