"Table: Epic Weapons"
"d%","Enhancement Bonus","Market Price"
"2"
"01–21","+11","+2,420,000 gp"
"22–39","+12","+2,880,000 gp"
"40–54","+13","+3,380,000 gp"
"55–66","+14","+3,920,000 gp"
"67–76","+15","+4,500,000 gp"
"77–84","+16","+5,120,000 gp"
"85–90","+17","+5,780,000 gp"
"91–94","+18","+6,480,000 gp"
"95–97","+19","+7,220,000 gp"
"98–99","+20","+8,000,000 gp"
"100","Roll again and add +10 to bonus 1"
"1This is cumulative if rolled multiple times."
"2 For enhancement bonuses higher than +20, the market price modifier is equal to the square of the bonus
            x20,000 gp."

