"Table: Ranged Weapon Special Abilities"
"d%","Special Ability","Market Price Modifier 1"
"01–07","Acidic blast","+6 bonus"
"08–14","Distant shot","+6 bonus"
"15–21","Fiery blast","+6 bonus"
"22–28","Icy blast","+6 bonus"
"29–35","Lightning blast","+6 bonus"
"36–41","Sonic blast","+6 bonus"
"42–48","Triple-throw","+6 bonus"
"49–53","Unerring accuracy","+6 bonus"
"54–60","Dread","+7 bonus"
"61–65","Anarchic power","+8 bonus"
"66–70","Holy power","+8 bonus"
"71–75","Axiomatic power","+8 bonus"
"76–80","Unholy power","+8 bonus"
"81–88","Roll on nonepic magic item Table: Ranged Weapon Special Abilities, then roll again on this table."
"89–96","Roll twice on nonepic magic item Table: Ranged Weapon Special Abilities."
"97–100","Roll twice again 2"
"1 Add to enhancement bonus on Table: Weapons to determine total market price."
"2 If a special ability is rolled twice, only one counts. If two versions of the same special ability are
            rolled, use the better."

