"d%","Designated Foe","d%","Designated Foe"
"01–05","Aberrations","58–60","Humanoids, orc"
"06–09","Animals","61–65","Magical beasts"
"10–16","Constructs","66–70","Monstrous humanoids"
"17–22","Dragons","71–72","Oozes"
"23–27","Elementals","73","Outsiders, air"
"28–32","Fey","74–76","Outsiders, chaotic"
"33–39","Giants","77","Outsiders, earth"
"40","Humanoids, aquatic","78–80","Outsiders, evil"
"41–42","Humanoids, dwarf","81","Outsiders, fire"
"43–44","Humanoids, elf","82–84","Outsiders, good"
"45","Humanoids, gnoll","85–87","Outsiders, lawful"
"46","Humanoids, gnome","88","Outsiders, water"
"47–49","Humanoids, goblinoid","89–90","Plants"
"50","Humanoids, halfling","91–98","Undead"
"51–54","Humanoids, human","99–100","Vermin"
"55–57","Humanoids, reptilian","",""

