"Table: Actual Spell Level"
"10th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"11th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"12th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"13th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"14th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"15th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"16th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"17th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"18th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"19th-Level Spell"
"d%","Spell Level and Metamagic Level Adjustment"
"01–03","1st-level spell plus metamagic (9)"
"04–08","2nd-level spell plus metamagic (8)"
"09–15","3rd-level spell plus metamagic (7)"
"16–24","4th-level spell plus metamagic (6)"
"25–35","5th-level spell plus metamagic (5)"
"36–48","6th-level spell plus metamagic (4)"
"49–63","7th-level spell plus metamagic (3)"
"64–80","8th-level spell plus metamagic (2)"
"81–99","9th-level spell plus metamagic (1)"
"100","Any"
"01–03","1st-level spell plus metamagic (10)"
"04–08","2nd-level spell plus metamagic (9)"
"09–15","3rd-level spell plus metamagic (8)"
"16–24","4th-level spell plus metamagic (7)"
"25–35","5th-level spell plus metamagic (6)"
"36–48","6th-level spell plus metamagic (5)"
"49–63","7th-level spell plus metamagic (4)"
"64–80","8th-level spell plus metamagic (3)"
"81–99","9th-level spell plus metamagic (2)"
"100","Any"
"01–05","2nd-level spell plus metamagic (10)"
"06–12","3rd-level spell plus metamagic (9)"
"13–21","4th-level spell plus metamagic (8)"
"22–32","5th-level spell plus metamagic (7)"
"33–45","6th-level spell plus metamagic (6)"
"46–60","7th-level spell plus metamagic (5)"
"61–77","8th-level spell plus metamagic (4)"
"78–99","9th-level spell plus metamagic (3)"
"100","Any"
"01–08","3rd-level spell plus metamagic (10)"
"09–18","4th-level spell plus metamagic (9)"
"19–30","5th-level spell plus metamagic (8)"
"31–44","6th-level spell plus metamagic (7)"
"45–60","7th-level spell plus metamagic (6)"
"61–78","8th-level spell plus metamagic (5)"
"79–99","9th-level spell plus metamagic (4)"
"100","Any"
"01–11","4th-level spell plus metamagic (10)"
"12–24","5th-level spell plus metamagic (9)"
"25–39","6th-level spell plus metamagic (8)"
"40–56","7th-level spell plus metamagic (7)"
"57–75","8th-level spell plus metamagic (6)"
"76–99","9th-level spell plus metamagic (5)"
"100","Any"
"01–15","5th-level spell plus metamagic (10)"
"16–33","6th-level spell plus metamagic (9)"
"34–53","7th-level spell plus metamagic (8)"
"54–75","8th-level spell plus metamagic (7)"
"76–99","9th-level spell plus metamagic (6)"
"100","Any"
"01–18","6th-level spell plus metamagic (10)"
"19–41","7th-level spell plus metamagic (9)"
"42–68","8th-level spell plus metamagic (8)"
"69–99","9th-level spell plus metamagic (7)"
"100","Any"
"01-25","7th-level spell plus metamagic (10)"
"26–60","8th-level spell plus metamagic (9)"
"61–99","9th-level spell plus metamagic (8)"
"100","Any"
"01–41","8th-level spell plus metamagic (10)"
"42–59","9th-level spell plus metamagic (9)"
"100","Any"
"01–99","9th-level spell plus metamagic (10)"
"100","Any"

