"Table: Epic Staffs"
"d%","Staff","Market Price"
"01–09","Spheres","228,375 gp"
"10–18","Mighty force","265,000 gp"
"19–27","Walls","275,625 gp"
"28–36","Winter","292,500 gp"
"37–45","Prism","326,812 gp"
"46–54","Rapid barrage","417,750 gp"
"55–63","Planar might","460,000 gp"
"64–71","Domination","464,400 gp"
"72–79","Fiery power","500,000 gp"
"80–87","Nature’s fury","500,000 gp"
"88–95","Hierophants","501,187 gp"
"96–98","Cosmos","683,487 gp"
"99–100","Necromancy","1,505,312 gp"

