"Table: Epic Wondrous Items"
"d%","Wondrous Item","Market Price"
"01–02","Horseshoes of the peerless steed","217,000 gp"
"03–04","Mantle of great stealth","242,000 gp"
"05–06","Boots of swiftness","256,000 gp"
"07–08","Cabinet of feasting","288,000 gp"
"09–10","Mantle of epic spell resistance","290,000 gp"
"11–13","Cloak of epic resistance +6","360,000 gp"
"14–15","Gate key","378,000 gp"
"16–18","Cloak of epic resistance +7","490,000 gp"
"19–21","Belt of epic strength +8","640,000 gp"
"22–24","Bracers of epic health +8","640,000 gp"
"25–27","Cloak of epic charisma +8","640,000 gp"
"28–30","Cloak of epic resistance +8","640,000 gp"
"31–33","Gloves of epic dexterity +8","640,000 gp"
"34–36","Headband of epic intellect +8","640,000 gp"
"37–39","Periapt of epic wisdom +8","640,000 gp"
"40–42","Amulet of epic natural armor +6","720,000 gp"
"43–45","Cloak of epic resistance +9","810,000 gp"
"46–48","Amulet of epic natural armor +7","980,000 gp"
"49–51","Belt of epic strength +10","1,000,000 gp"
"52–54","Bracers of epic health +10","1,000,000 gp"
"55–57","Cloak of epic charisma +10","1,000,000 gp"
"58–59","Cloak of epic resistance +10","1,000,000 gp"
"60–62","Gloves of epic dexterity +10","1,000,000 gp"
"63–65","Headband of epic intellect +10","1,000,000 gp"
"66–68","Periapt of epic wisdom +10","1,000,000 gp"
"69–71","Bracers of epic armor +11","1,210,000 gp"
"72–74","Amulet of epic natural armor +8","1,280,000 gp"
"75–76","Belt of epic strength +12","1,440,000 gp"
"77–78","Bracers of epic armor +12","1,440,000 gp"
"79–80","Bracers of epic health +12","1,440,000 gp"
"81–82","Cloak of epic charisma +12","1,440,000 gp"
"83–84","Gloves of epic dexterity +12","1,440,000 gp"
"85–86","Headband of epic intellect +12","1,440,000 gp"
"87–88","Periapt of epic wisdom +12","1,440,000 gp"
"89–90","Amulet of epic natural armor +9","1,620,000 gp"
"91–92","Bracers of epic armor +13","1,690,000 gp"
"93–94","Bracers of epic armor +14","1,960,000 gp"
"95–96","Amulet of epic natural armor +10","2,000,000 gp"
"97–98","Bracers of epic armor +15","2,250,000 gp"
"99–100","Bracers of relentless might","4,384,000 gp"

