"Table: Item Alignment"
"d%","Alignment of Item"
"01–05","Chaotic good"
"06–15","Chaotic neutral 1"
"16–20","Chaotic evil"
"21–25","Neutral evil 1"
"26–30","Lawful evil"
"31–55","Lawful good"
"56–60","Lawful neutral 1"
"61–80","Neutral good 1"
"81–100","Neutral"
"1 The item can also be used by any character whose alignment corresponds to the nonneutral portion of the
            item’s alignment (in other words, chaotic, evil, good, or lawful). Thus, any chaotic character (CG, CN, CE)
            can use an item with chaotic neutral alignment."

