"Table: Item Ego"
"Attribute of Item","Ego Points"
"Each +1 enhancement of item up to +5","1"
"Each +1 enhancement of item above +5","2"
"Each +1 bonus of special abilities","1"
"Each primary ability 1","1"
"Each extraordinary power 1","2"
"Each awesome power 1","6"
"Special purpose","4"
"Telepathic ability","1"
"Read languages ability","1"
"Read magic ability","1"
"Each +1 of Intelligence bonus","1"
"Each +1 of Wisdom bonus","1"
"Each +1 of Charisma bonus","1"
"1 If uses per day are doubled, Ego points are doubled as well."

