"Size","Str","Dex","Con","# of HD","Slam","Bite","Claw","Gore"
"Fine","12–13","26–27","12–13","4d8–9d8","—","1d6","1d4","1d4"
"Diminutive","14–15","24–25","14–15","7d8–13d8","1d4","1d8","1d6","1d6"
"Tiny","18–19","22–23","16–17","10d8–21d8","1d6","2d6","1d8","1d8"
"Small","26–27","20–21","20–21","19d8–33d8","1d8","2d8","2d6","2d6"
"Medium-size","34–35","18–19","24–25","27d8–38d8","2d6","4d6","2d8","2d8"
"Large","42–43","16–17","28–29","36d8–50d8+","2d8","4d8","4d6","4d6"
"Huge","50–51","14–15","32–33","47d8–58d8+","4d6","8d6","4d8","4d8"
"Gargantuan","58–59","12–13","36–37","56d8–70d8+","4d8","8d8","8d6","8d6"
"Colossal","66–67","10–11","40–41","71d8+","8d6","16d6","8d8","8d8"

