"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","H","20d12+100 (230)","31","10","21","18","19","18","+20/+38","+28","+17","+12","+16","5d12 (25)","24"
"Very young","H","25d12+150 (312)","35","10","23","22","23","22","+25/+45","+35","+20","+14","+20","10d12 (28)","28"
"Young","G","30d12+210 (405)","39","10","25","26","27","26","+30/+56","+40","+24","+17","+25","15d12 (32)","33"
"Juvenile","G","35d12+315 (542)","43","10","29","30","31","30","+35/+63","+47","+28","+19","+29","20d12 (36)","37"
"Young adult","G","40d12+440 (700)","47","10","33","34","35","34","+40/+70","+54","+33","+22","+34","25d12 (41)","42"
"Adult","G","45d12+585 (877)","51","10","37","38","39","38","+45/+77","+61","+37","+24","+38","30d12 (45)","46"
"Mature adult","C","50d12+750 (1,075)","55","10","41","42","43","42","+50/+88","+64","+42","+27","+43","35d12 (50)","51"
"Old","C","55d12+935 (1,292)","59","10","45","46","47","46","+55/+95","+71","+46","+29","+47","40d12 (54)","55"
"Very old","C","60d12+1,140 (1,530)","63","10","49","50","51","50","+60/+102","+78","+51","+32","+52","45d12 (59)","60"
"Ancient","C","65d12+1,365 (1,787)","67","10","53","54","55","54","+65/+109","+85","+55","+34","+56","50d12 (63)","64"
"Wyrm","C+","70d12+1,610 (2,065)","71","10","57","58","59","58","+70/+116","+92","+60","+37","+61","55d12 (68)","69"
"Great wyrm","C+","75d12+1,875 (2,362)","75","10","61","62","63","62","+75/+123","+99","+64","+39","+65","60d12 (72)","73"

