"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon DC","Frightful Presence DC"
"Wyrmling","H","23d12+138 (287)","29","10","23","20","21","20","+23/+40","+30","+19","+13","+18","27","26"
"Very young","H","28d12+196 (378)","33","10","25","24","25","24","+28/+47","+37","+23","+16","+23","31","31"
"Young","G","33d12+297 (511)","37","10","29","28","29","28","+33/+58","+42","+27","+18","+27","35","35"
"Juvenile","G","38d12+418 (665)","41","10","33","32","33","32","+38/+65","+49","+32","+21","+32","40","40"
"Young adult","G","43d12+559 (838)","45","10","37","36","37","36","+43/+72","+56","+36","+23","+36","44","44"
"Adult","C","48d12+720 (1,032)","49","10","41","40","41","40","+48/+83","+59","+41","+26","+41","49","49"
"Mature adult","C","53d12+901 (1,245)","53","10","45","44","45","44","+53/+90","+66","+45","+28","+45","53","53"
"Old","C","58d12+1,102 (1,479)","57","10","49","48","49","48","+58/+97","+73","+50","+31","+50","58","58"
"Very old","C","63d12+1,323 (1,732)","61","10","53","52","53","52","+63/+104","+80","+54","+33","+54","62","62"
"Ancient","C+","68d12+1,564 (2,006)","65","10","57","56","57","56","+68/+111","+87","+59","+36","+59","67","67"
"Wyrm","C+","73d12+1,825 (2,299)","69","10","61","60","61","60","+73/+118","+94","+63","+38","+63","71","71"
"Great wyrm","C+","78d12+2,106 (2,613)","73","10","65","64","65","64","+78/+125","+101","+68","+41","+68","76","76"

