"Wall Type","Typical Thickness","Break DC","Hardness","Hit Points*","Climb DC"
"Paper","Paper-thin","1","—","1hp","30"
"Wood","6in.","20","5","60hp","21"
"Masonry","1ft.","35","8","90hp","15"
"Masonry, superior","1ft.","35","8","90hp","20"
"Masonry, reinforced","1ft.","45","8","180hp","15"
"Stone, hewn","3ft.","50","8","540hp","22"
"Stone, unworked","5ft.","65","8","900hp","20"
"Iron","3in.","30","10","90hp","25"
"Mithral","3in.","46","15","90hp","70"
"Adamantine","3in.","66","20","120hp","70"
"Magically treated**","—","20","x2","x2†","—"
"Wall of force","1in.","n/a","n/a","n/a","70"
"Wall of ice","1in./lvl","15+1/in.","0","3hp/in.","25"
"Wall of iron","1in./4lvls","25+2/in.","10","30hp/in.","25"
"Wall of stone","1in./4lvls","20+2/in.","8","15hp/in.","22"
"*Per 10-ft.-by-10-ft. section.","","","","",""
"**These modifiers can be applied to any of the other categories and types."
"†Or 50, whichever is greater.","","","","",""

