"Table: The Agent Retriever"
"Level","Special","Spells per Day"
"1st","Uncanny location, tracking bonus +10","+1 level of existing class"
"2nd","Plane shift 1/day","+1 level of existing class"
"3rd","Force sphere 1/day","+1 level of existing class"
"4th","Ethereal jaunt 1/day","+1 level of existing class"
"5th","Bonus feat","+1 level of existing class"
"6th","Tracking bonus +20","+1 level of existing class"
"7th","Plane shift 2/day","+1 level of existing class"
"8th","Force sphere 2/day","+1 level of existing class"
"9th","Ethereal jaunt 2/day","+1 level of existing class"
"10th","Bonus feat","+1 level of existing class"

