"Table: The Guardian Paramount"
"Level","Special"
"1st","Bonus feat, uncanny dodge enabler 3/day"
"2nd","Evasive preceptor 1/day"
"3rd","Protective aura 1/day"
"4th","Bonus feat, uncanny dodge enabler 4/day"
"5th","Adjust probability 2/day, evasive preceptor 2/day"
"6th","Call back 1/day, protective aura 2/day"
"7th","Bonus feat, uncanny dodge enabler 5/day"
"8th","Evasive preceptor 3/day, adjust probability 3/day"
"9th","Protective aura 3/day"
"10th","Bonus feat, uncanny dodge enabler 6/day"

