"Table: Psionic Seeds"
"Base Psicraft DC","Base Psicraft DC"
"",""
"Psychometabolism","","Telepathy",""
"Fortify","17","Compel","19"
"Slay","25","Contact","23"
"Transform","21","Delude","14"
"Heal","50","Psychokinesis",""
"Psychoportation","","Dispel","19"
"Banish","27","Energy","19"
"Summon","14","Reflect","27"
"Transport","27","Destroy","29"
"Clairsentience","","Ward","14"
"Afflict","14","Metacreativity",""
"Foresee","17","Armor","14"
"Reveal","19","Conjure","21"
"Conceal","17","Animate dead","23"
"","Animate","25"
"Life","55"

