"Table: Goods and Services"
"Adventuring Gear"
"Item","Cost","Weight"
"Special Substances and Items"
"Item","Cost","Weight"
"Tools and Skill Kits"
"Item","Cost","Weight"
"Clothing"
"Item","Cost","Weight"
"Food, Drink, and Lodging"
"Item","Cost","Weight"
"Mounts and Related Gear"
"Item","Cost","Weight"
"Transport"
"Item","Cost","Weight"
"Spellcasting and Services"
"Service","Cost"
"",""
"Backpack (empty)","2 gp","2 lb. 1"
"Barrel (empty)","2 gp","30 lb."
"Basket (empty)","4 sp","1 lb."
"Bedroll","1 sp","5 lb. 1"
"Bell","1 gp","—"
"Blanket, winter","5 sp","3 lb. 1"
"Block and tackle","5 gp","5 lb."
"Bottle, wine, glass","2 gp","—"
"Bucket (empty)","5 sp","2 lb."
"Caltrops","1 gp","2 lb."
"Candle","1 cp","—"
"Canvas (sq. yd.)","1 sp","1 lb."
"Case, map or scroll","1 gp","1/2 lb."
"Chain (10 ft.)","30 gp","2 lb."
"Chalk, 1 piece","1 cp","—"
"Chest (empty)","2 gp","25 lb."
"Crowbar","2 gp","5 lb."
"Firewood (per day)","1 cp","20 lb."
"Fishhook","1 sp","—"
"Fishing net, 25 sq. ft.","4 gp","5 lb."
"Flask (empty)","3 cp","1-1/2 lb."
"Flint and steel","1 gp","—"
"Grappling hook","1 gp","4 lb."
"Hammer","5 sp","2 lb."
"Ink (1 oz. vial)","8 gp","—"
"Inkpen","1 sp","—"
"Jug, clay","3 cp","9 lb."
"Ladder, 10-foot","5 cp","20 lb."
"Lamp, common","1 sp","1 lb."
"Lantern, bullseye","12 gp","3 lb."
"Lantern, hooded","7 gp","2 lb."
"Lock","","1 lb."
"Very simple","20 gp","1 lb."
"Average","40 gp","1 lb."
"Good","80 gp","1 lb."
"Amazing","150 gp","1 lb."
"Manacles","15 gp","2 lb."
"Manacles, masterwork","50 gp","2 lb."
"Mirror, small steel","10 gp","1/2 lb."
"Mug/Tankard, clay","2 cp","1 lb."
"Oil (1-pint flask)","1 sp","1 lb."
"Paper (sheet)","4 sp","—"
"Parchment (sheet)","2 sp","—"
"Pick, miner’s","3 gp","10 lb."
"Pitcher, clay","2 cp","5 lb."
"Piton","1 sp","1/2 lb."
"Pole, 10-foot","2 sp","8 lb."
"Pot, iron","5 sp","10 lb."
"Pouch, belt (empty)","1 gp","1/2 lb. 1"
"Ram, portable","10 gp","20 lb."
"Rations, trail (per day)","5 sp","1 lb. 1"
"Rope, hempen (50 ft.)","1 gp","10 lb."
"Rope, silk (50 ft.)","10 gp","5 lb."
"Sack (empty)","1 sp","1/2 lb. 1"
"Sealing wax","1 gp","1 lb."
"Sewing needle","5 sp","—"
"Signal whistle","8 sp","—"
"Signet ring","5 gp","—"
"Sledge","1 gp","10 lb."
"Soap (per lb.)","5 sp","1 lb."
"Spade or shovel","2 gp","8 lb."
"Spyglass","1,000 gp","1 lb."
"Tent","10 gp","20 lb. 1"
"Torch","1 cp","1 lb."
"Vial, ink or potion","1 gp","1/10 lb."
"Waterskin","1 gp","4 lb. 1"
"Whetstone","2 cp","1 lb."
"",""
"Acid (flask)","10 gp","1 lb."
"Alchemist’s fire (flask)","20 gp","1 lb."
"Antitoxin (vial)","50 gp","—"
"Everburning torch","110 gp","1 lb."
"Holy water (flask)","25 gp","1 lb."
"Smokestick","20 gp","1/2 lb."
"Sunrod","2 gp","1 lb."
"Tanglefoot bag","50 gp","4 lb."
"Thunderstone","30 gp","1 lb."
"Tindertwig","1 gp","—"
"",""
"Alchemist’s lab","500 gp","40 lb."
"Artisan’s tools","5 gp","5 lb."
"Artisan’s tools, masterwork","55 gp","5 lb."
"Climber’s kit","80 gp","5 lb. 1"
"Disguise kit","50 gp","8 lb. 1"
"Healer’s kit","50 gp","1 lb."
"Holly and mistletoe","—","—"
"Holy symbol, wooden","1 gp","—"
"Holy symbol, silver","25 gp","1 lb."
"Hourglass","25 gp","1 lb."
"Magnifying glass","100 gp","—"
"Musical instrument, common","5 gp","3 lb. 1"
"Musical instrument, masterwork","100 gp","3 lb. 1"
"Scale, merchant’s","2 gp","1 lb."
"Spell component pouch","5 gp","2 lb."
"Spellbook, wizard’s (blank)","15 gp","3 lb."
"Thieves’ tools","30 gp","1 lb."
"Thieves’ tools, masterwork","100 gp","2 lb."
"Tool, masterwork","50 gp","1 lb."
"Water clock","1,000 gp","200 lb."
"",""
"Artisan’s outfit","1 gp","4 lb. 1"
"Cleric’s vestments","5 gp","6 lb. 1"
"Cold weather outfit","8 gp","7 lb. 1"
"Courtier’s outfit","30 gp","6 lb. 1"
"Entertainer’s outfit","3 gp","4 lb. 1"
"Explorer’s outfit","10 gp","8 lb. 1"
"Monk’s outfit","5 gp","2 lb. 1"
"Noble’s outfit","75 gp","10 lb. 1"
