"Base Magic Supplies and XP Cost to Scribe a Scroll (By Scriber’s Class)"
"Spell Level","Clr, Drd, Wiz","Sor","Brd","Pal, Rgr*"
"0","6 gp 2 sp 5 cp  +1 XP","6 gp 2 sp 5 cp  +1 XP","6 gp 2 sp 5 cp  +1 XP","—"
"1st","12 gp 5 sp  +1 XP","12 gp 5 sp  +1 XP","25 gp  +1 XP","25 gp  +2 XP"
"2nd","75 gp  +6 XP","100 gp  +8 XP","100 gp  +8 XP","100 gp  +8 XP"
"3rd","187 gp 5 sp  +15 XP","225 gp  +18 XP","262 gp 5 sp  +21 XP","187 gp 5 sp  +15 XP"
"4th","350 gp  +28 XP","400 gp  +32 XP","500 gp  +40 XP","350 gp  +28 XP"
"5th","562 gp 5 sp  +45 XP","625 gp  +50 XP","812 gp 5 sp  +65 XP","—"
"6th","826 gp  +66 XP","900 gp  +72 XP","1,200 gp  +96 XP","—"
"7th","1,135 gp 5 sp  +91 XP","1,225 gp  +98 XP","—","—"
"8th","1,500 gp  +120 XP","1,600 gp  +128 XP","—","—"
"9th","1,912 gp 5 sp  +153 XP","2, 025 gp  +162 XP","—","—"
"* Caster level is half class level."
"Costs assume that the creator makes the scroll at the minimum caster level."

