"Body Slot","Affinity"
"Headband, helmet","Mental improvement, ranged attacks"
"Hat","Interaction"
"Phylactery","Morale, alignment"
"Eye lenses, goggles","Vision"
"Cloak, cape, mantle","Transformation, protection"
"Amulet, brooch, medallion, necklace, periapt, scarab","Protection, discernment"
"Robe","Multiple effects"
"Shirt","Physical improvement"
"Vest, vestment","Class ability improvement"
"Bracers","Combat"
"Bracelets","Allies"
"Gloves","Quickness"
"Gauntlets","Destructive power"
"Belt","Physical improvement"
"Boots","Movement"

