"Table: Random Armor Type"
"d%","Armor","Armor Cost 1"
"01","Padded","+155 gp"
"02","Leather","+160 gp"
"03–17","Studded leather","+175 gp"
"18–32","Chain shirt","+250 gp"
"33–42","Hide","+165 gp"
"43","Scale mail","+200 gp"
"44","Chainmail","+300 gp"
"45–57","Breastplate","+350 gp"
"58","Splint mail","+350 gp"
"59","Banded mail","+400 gp"
"60","Half-plate","+750 gp"
"61–100","Full plate","+1,650 gp"
"1 Add to enhancement bonus on Table: Armor and Shields to determine total market price."
"All magic armor is masterwork armor (with an armor check penalty 1 less than normal)."

