"Table: Weapons"
"Minor","Medium","Major","Weapon Bonus","Base Price 1"
"01–70","01–10","—","+1","2,000 gp"
"71–85","11–29","—","+2","8,000 gp"
"—","30–58","01–20","+3","18,000 gp"
"—","59–62","21–38","+4","32,000 gp"
"—","—","39–49","+5","50,000 gp"
"—","—","—","+6 2","72,000 gp"
"—","—","—","+7 2","98,000 gp"
"—","—","—","+8 2","128,000 gp"
"—","—","—","+9 2","162,000 gp"
"—","—","—","+10 2","200,000 gp"
"86–90","63–68","50–63","Specific weapon 3","—"
"91–100","69–100","64–100","Special ability and roll again 4","—"
"1 This price is for 50 arrows, crossbow bolts, or sling bullets."
"2 A weapon can’t actually have a bonus higher than +5. Use these lines to determine price when special
            abilities are added in."
"3 See Table: Specific Weapons."
"4 See Table: Melee Weapon Special Abilities for melee weapons or Table: Ranged Weapon Special Abilities for
            ranged weapons."

