"Table: Specific Weapons"
"Minor","Medium","Major","Specific Weapon","Market Price"
"01–15","—","—","Sleep arrow","132 gp"
"16–25","—","—","Screaming bolt","267 gp"
"26–45","—","—","Silver dagger, masterwork","322 gp"
"46–65","—","—","Cold iron longsword, masterwork","330 gp"
"66–75","01–09","—","Javelin of lightning","1,500 gp"
"76–80","10–15","—","Slaying arrow","2,282 gp"
"81–90","16–24","—","Adamantine dagger","3,002 gp"
"91–100","25–33","—","Adamantine battleaxe","3,010 gp"
"—","34–37","—","Slaying arrow (greater)","4,057 gp"
"—","38–40","—","Shatterspike","4,315 gp"
"—","41–46","—","Dagger of venom","8,302 gp"
"—","47–51","—","Trident of warning","10,115 gp"
"—","52–57","01–04","Assassin’s dagger","10,302 gp"
"—","58–62","05–07","Shifter’s sorrow","12,780 gp"
"—","63–66","08–09","Trident of fish command","18,650 gp"
"—","67–74","10–13","Flame tongue","20,715 gp"
"—","75–79","14–17","Luck blade (0 wishes)","22,060 gp"
"—","80–86","18–24","Sword of subtlety","22,310 gp"
"—","87–91","25–31","Sword of the planes","22,315 gp"
"—","92–95","32–37","Nine lives stealer","23,057 gp"
"—","96–98","38–42","Sword of life stealing","25,715 gp"
"—","99–100","43–46","Oathbow","25,600 gp"
"—","—","47–51","Mace of terror","38,552 gp"
"—","—","52–57","Life-drinker","40,320 gp"
"—","—","58–62","Sylvan scimitar","47,315 gp"
"—","—","63–67","Rapier of puncturing","50,320 gp"
"—","—","68–73","Sun blade","50,335 gp"
"—","—","74–79","Frost brand","54,475 gp"
"—","—","80–84","Dwarven thrower","60,312 gp"
"—","—","85–91","Luck blade (1 wish)","62,360 gp"
"—","—","92–95","Mace of smiting","75,312 gp"
"—","—","96–97","Luck blade (2 wishes)","102,660 gp"
"—","—","98–99","Holy avenger","120,630 gp"
"—","—","100","Luck blade (3 wishes)","142,960 gp"

