"Table: Divine Spell Scrolls"
"0-Level Divine Spells"
"d%","Spell","Market Price"
"1st-Level Divine Spells"
"d%","Spell","Market Price"
"2nd-Level Divine Spells"
"d%","Spell","Market Price"
"3rd-Level Divine Spells"
"d%","Spell","Market Price"
"4th-Level Divine Spells"
"d%","Spell","Market Price"
"5th-Level Divine Spells"
"d%","Spell","Market Price"
"6,125 gp1"
"6th-Level Divine Spells"
"d%","Spell","Market Price"
"7th-Level Divine Spells"
"d%","Spell","Market Price"
"8th-Level Divine Spells"
"d%","Spell","Market Price"
"9th-Level Divine Spells"
"d%","Spell","Market Price"
"28,825 gp1"
"01–07","create water","12 gp 5 sp"
"08–14","cure minor wounds","12 gp 5 sp"
"15–22","detect magic","12 gp 5 sp"
"23–29","detect poison","12 gp 5 sp"
"30–36","flare","12 gp 5 sp"
"37–43","guidance","12 gp 5 sp"
"44–50","inflict minor wounds","12 gp 5 sp"
"51–57","know direction","12 gp 5 sp"
"58–65","light","12 gp 5 sp"
"66–72","mending","12 gp 5 sp"
"73–79","purify food and drink","12 gp 5 sp"
"80–86","read magic","12 gp 5 sp"
"87–93","resistance","12 gp 5 sp"
"94–100","virtue","12 gp 5 sp"
"01","alarm","100 gp"
"02–03","bane","25 gp"
"04–06","bless","25 gp"
"07–09","bless water","50 gp"
"10","bless weapon","100 gp"
"11–12","calm animals","25 gp"
"13–14","cause fear","25 gp"
"15–16","charm animal","25 gp"
"17–19","command","25 gp"
"20–21","comprehend languages","25 gp"
"22–26","cure light wounds","25 gp"
"27–28","curse water","50 gp"
"29–30","deathwatch","25 gp"
"31–32","detect animals or plants","25 gp"
"33–35","detect chaos/evil/good/law","25 gp"
"36–37","detect snares and pits","25 gp"
"38–39","detect undead","25 gp"
"40–41","divine favor","25 gp"
"42–43","doom","25 gp"
"44–48","endure elements","25 gp"
"49–50","entangle","25 gp"
"51–52","entropic shield","25 gp"
"53–54","faerie fire","25 gp"
"55–56","goodberry","25 gp"
"57–58","hide from animals","25 gp"
"59–60","hide from undead","25 gp"
"61–62","inflict light wounds","25 gp"
"63–64","jump","25 gp"
"65–66","longstrider","25 gp"
"67–68","magic fang","25 gp"
"69–72","magic stone","25 gp"
"73–74","magic weapon","25 gp"
"75–78","obscuring mist","25 gp"
"79–80","pass without trace","25 gp"
"81–82","produce flame","25 gp"
"83–86","protection from chaos/evil/good/law","25 gp"
"87–88","remove fear","25 gp"
"89–90","sanctuary","25 gp"
"91–92","shield of faith","25 gp"
"93–94","shillelagh","25 gp"
"95–96","speak with animals","25 gp"
"97–98","summon monster I","25 gp"
"99–100","summon nature’s ally I","25 gp"
"01","animal messenger","150 gp"
"02","animal trance","150 gp"
"03–04","augury","175 gp"
"05–06","barkskin","150 gp"
"07–09","bear’s endurance","150 gp"
"10–12","bull’s strength","150 gp"
"13–14","calm emotions","150 gp"
"15–17","cat’s grace","150 gp"
"18","chill metal","150 gp"
"19–20","consecrate","200 gp"
"21–24","cure moderate wounds","150 gp"
"25–26","darkness","150 gp"
"27","death knell","150 gp"
"28–30","delay poison","150 gp"
"31–32","desecrate","200 gp"
"33–35","eagle’s splendor","150 gp"
"36–37","enthrall","150 gp"
"38–39","find traps","150 gp"
"40","fire trap","175 gp"
"41–42","flame blade","150 gp"
"43–44","flaming sphere","150 gp"
"45–46","fog cloud","150 gp"
"47","gentle repose","150 gp"
"48","gust of wind","150 gp"
"49","heat metal","150 gp"
"50–51","hold animal","150 gp"
"52–54","hold person","150 gp"
"55–56","inflict moderate wounds","150 gp"
"57–58","make whole","150 gp"
"59–61","owl’s wisdom","150 gp"
"62","reduce animal","150 gp"
"63–64","remove paralysis","150 gp"
"65–67","resist energy","150 gp"
"68–70","restoration, lesser","150 gp"
"71–72","shatter","150 gp"
"73–74","shield other","150 gp"
"75–76","silence","150 gp"
"77","snare","150 gp"
"78","soften earth and stone","150 gp"
"79–80","sound burst","150 gp"
"81","speak with plants","150 gp"
"82–83","spider climb","150 gp"
"84–85","spiritual weapon","150 gp"
"86","status","150 gp"
"87–88","summon monster II","150 gp"
"89–90","summon nature’s ally II","150 gp"
"91–92","summon swarm","150 gp"
"93","tree shape","150 gp"
"94–95","undetectable alignment","150 gp"
"96–97","warp wood","150 gp"
"98","wood shape","150 gp"
"99–100","zone of truth","150 gp"
"01–02","animate dead","625 gp"
"03–04","bestow curse","375 gp"
"05–06","blindness/deafness","375 gp"
"07–08","call lightning","375 gp"
"09–10","contagion","375 gp"
"11–12","continual flame","425 gp"
"13–14","create food and water","375 gp"
"15–18","cure serious wounds","375 gp"
"19","darkvision","375 gp"
"20–21","daylight","375 gp"
"22–23","deeper darkness","375 gp"
"24–25","diminish plants","375 gp"
"26–27","dispel magic","375 gp"
"28–29","dominate animal","375 gp"
"30–31","glyph of warding","575 gp"
