"Table: Minor Wondrous Items"
"d%","Item","Market Price"
"01","Feather token, anchor","50 gp"
"02","Universal solvent","50 gp"
"03","Elixir of love","150 gp"
"04","Unguent of timelessness","150 gp"
"05","Feather token, fan","200 gp"
"06","Dust of tracelessness","250 gp"
"07","Elixir of hiding","250 gp"
"08","Elixir of sneaking","250 gp"
"09","Elixir of swimming","250 gp"
"10","Elixir of vision","250 gp"
"11","Silversheen","250 gp"
"12","Feather token, bird","300 gp"
"13","Feather token, tree","400 gp"
"14","Feather token, swan boat","450 gp"
"15","Elixir of truth","500 gp"
"16","Feather token, whip","500 gp"
"17","Dust of dryness","850 gp"
"18","Bag of tricks, gray","900 gp"
"19","Hand of the mage","900 gp"
"20","Bracers of armor +1","1,000 gp"
"21","Cloak of resistance +1","1,000 gp"
"22","Pearl of power, 1st-level spell","1,000 gp"
"23","Phylactery of faithfulness","1,000 gp"
"24","Salve of slipperiness","1,000 gp"
"25","Elixir of fire breath","1,100 gp"
"26","Pipes of the sewers","1,150 gp"
"27","Dust of illusion","1,200 gp"
"28","Goggles of minute seeing","1,250 gp"
"29","Brooch of shielding","1,500 gp"
"30","Necklace of fireballs type I","1,650 gp"
"31","Dust of appearance","1,800 gp"
"32","Hat of disguise","1,800 gp"
"33","Pipes of sounding","1,800 gp"
"34","Efficient quiver","1,800 gp"
"35","Amulet of natural armor +1","2,000 gp"
"36","Handy haversack","2,000 gp"
"37","Horn of fog","2,000 gp"
"38","Elemental gem","2,250 gp"
"39","Robe of bones","2,400 gp"
"40","Sovereign glue","2,400 gp"
"41","Bag of holding type I","2,500 gp"
"42","Boots of elvenkind","2,500 gp"
"43","Boots of the winterlands","2,500 gp"
"44","Candle of truth","2,500 gp"
"45","Cloak of elvenkind","2,500 gp"
"46","Eyes of the eagle","2,500 gp"
"47","Scarab, golembane","2,500 gp"
"48","Necklace of fireballs type II","2,700 gp"
"49","Stone of alarm","2,700 gp"
"50","Bag of tricks, rust","3,000 gp"
"51","Bead of force","3,000 gp"
"52","Chime of opening","3,000 gp"
"53","Horseshoes of speed","3,000 gp"
"54","Rope of climbing","3,000 gp"
"55","Dust of disappearance","3,500 gp"
"56","Lens of detection","3,500 gp"
"57","Vestment, druid’s","3,750 gp"
"58","Figurine of wondrous power, silver raven","3,800 gp"
"59","Amulet of health +2","4,000 gp"
"60","Bracers of armor +2","4,000 gp"
"61","Cloak of Charisma +2","4,000 gp"
"62","Cloak of resistance +2","4,000 gp"
"63","Gauntlets of ogre power","4,000 gp"
"64","Gloves of arrow snaring","4,000 gp"
"65","Gloves of Dexterity +2","4,000 gp"
"66","Headband of intellect +2","4,000 gp"
"67","Ioun stone, clear spindle","4,000 gp"
"68","Restorative ointment","4,000 gp"
"69","Marvelous pigments","4,000 gp"
"70","Pearl of power, 2nd-level spell","4,000 gp"
"71","Periapt of Wisdom +2","4,000 gp"
"72","Stone salve","4,000 gp"
"73","Necklace of fireballs type III","4,350 gp"
"74","Circlet of persuasion","4,500 gp"
"75","Slippers of spider climbing","4,800 gp"
"76","Incense of meditation","4,900 gp"
"77","Bag of holding type II","5,000 gp"
"78","Bracers of archery, lesser","5,000 gp"
"79","Ioun stone, dusty rose prism","5,000 gp"
"80","Helm of comprehend languages and read magic","5,200 gp"
"81","Vest of escape","5,200 gp"
"82","Eversmoking bottle","5,400 gp"
"83","Sustaining spoon","5,400 gp"
"84","Necklace of fireballs type IV","5,400 gp"
"85","Boots of striding and springing","5,500 gp"
"86","Wind fan","5,500 gp"
"87","Amulet of mighty fists +1","6,000 gp"
"88","Horseshoes of a zephyr","6,000 gp"
"89","Pipes of haunting","6,000 gp"
"90","Necklace of fireballs type V","6,150 gp"
"91","Gloves of swimming and climbing","6,250 gp"
"92","Bag of tricks, tan","6,300 gp"
"93","Circlet of blasting, minor","6,480 gp"
"94","Horn of goodness/evil","6,500 gp"
"95","Robe of useful items","7,000 gp"
"96","Boat, folding","7,200 gp"
"97","Cloak of the manta ray","7,200 gp"
"98","Bottle of air","7,250 gp"
"99","Bag of holding type III","7,400 gp"
"100","Periapt of health","7,400 gp"

