"Table: Medium Wondrous Items"
"d%","Item","Market Price"
"01","Boots of levitation","7,500 gp"
"02","Harp of charming","7,500 gp"
"03","Amulet of natural armor +2","8,000 gp"
"04","Golem manual, flesh","8,000 gp"
"05","Hand of glory","8,000 gp"
"06","Ioun stone, deep red sphere","8,000 gp"
"07","Ioun stone, incandescent blue sphere","8,000 gp"
"08","Ioun stone, pale blue rhomboid","8,000 gp"
"09","Ioun stone, pink and green sphere","8,000 gp"
"10","Ioun stone, pink rhomboid","8,000 gp"
"11","Ioun stone, scarlet and blue sphere","8,000 gp"
"12","Deck of illusions","8,100 gp"
"13","Necklace of fireballs type VI","8,100 gp"
"14","Candle of invocation","8,400 gp"
"15","Bracers of armor +3","9,000 gp"
"16","Cloak of resistance +3","9,000 gp"
"17","Decanter of endless water","9,000 gp"
"18","Necklace of adaptation","9,000 gp"
"19","Pearl of power, 3rd-level spell","9,000 gp"
"20","Talisman of the sphere","9,000 gp"
"21","Figurine of wondrous power, serpentine owl","9,100 gp"
"22","Necklace of fireballs type VII","9,150 gp"
"23","Strand of prayer beads, lesser","9,600 gp"
"24","Bag of holding type IV","10,000 gp"
"25","Figurine of wondrous power, bronze griffon","10,000 gp"
"26","Figurine of wondrous power, ebony fly","10,000 gp"
"27","Glove of storing","10,000 gp"
"28","Ioun stone, dark blue rhomboid","10,000 gp"
"29","Stone horse, courser","10,000 gp"
"30","Cape of the mountebank","10,080 gp"
"31","Phylactery of undead turning","11,000 gp"
"32","Gauntlet of rust","11,500 gp"
"33","Boots of speed","12,000 gp"
"34","Goggles of night","12,000 gp"
"35","Golem manual, clay","12,000 gp"
"36","Medallion of thoughts","12,000 gp"
"37","Pipes of pain","12,000 gp"
"38","Blessed book","12,500 gp"
"39","Belt, monk’s","13,000 gp"
"40","Gem of brightness","13,000 gp"
"41","Lyre of building","13,000 gp"
"42","Cloak of arachnida","14,000 gp"
"43","Stone horse, destrier","14,800 gp"
"44","Belt of dwarvenkind","14,900 gp"
"45","Periapt of wound closure","15,000 gp"
"46","Horn of the tritons","15,100 gp"
"47","Pearl of the sirines","15,300 gp"
"48","Figurine of wondrous power, onyx dog","15,500 gp"
"49","Amulet of health +4","16,000 gp"
"50","Belt of giant Strength +4","16,000 gp"
"51","Boots, winged","16,000 gp"
"52","Bracers of armor +4","16,000 gp"
"53","Cloak of Charisma +4","16,000 gp"
"54","Cloak of resistance +4","16,000 gp"
"55","Gloves of Dexterity +4","16,000 gp"
"56","Headband of intellect +4","16,000 gp"
"57","Pearl of power, 4th-level spell","16,000 gp"
"58","Periapt of Wisdom +4","16,000 gp"
"59","Scabbard of keen edges","16,000 gp"
"60","Figurine of wondrous power, golden lions","16,500 gp"
"61","Chime of interruption","16,800 gp"
"62","Broom of flying","17,000 gp"
"63","Figurine of wondrous power, marble elephant","17,000 gp"
"64","Amulet of natural armor +3","18,000 gp"
"65","Ioun stone, iridescent spindle","18,000 gp"
"66","Bracelet of friends","19,000 gp"
"67","Carpet of flying, 5 ft. by 5 ft.","20,000 gp"
"68","Horn of blasting","20,000 gp"
"69","Ioun stone, pale lavender ellipsoid","20,000 gp"
"70","Ioun stone, pearly white spindle","20,000 gp"
"71","Portable hole","20,000 gp"
"72","Stone of good luck (luckstone)","20,000 gp"
"73","Figurine of wondrous power, ivory goats","21,000 gp"
"74","Rope of entanglement","21,000 gp"
"75","Golem manual, stone","22,000 gp"
"76","Mask of the skull","22,000 gp"
"77","Mattock of the titans","23,348 gp"
"78","Circlet of blasting, major","23,760 gp"
"79","Amulet of mighty fists +2","24,000 gp"
"80","Cloak of displacement, minor","24,000 gp"
"81","Helm of underwater action","24,000 gp"
"82","Bracers of archery, greater","25,000 gp"
"83","Bracers of armor +5","25,000 gp"
"84","Cloak of resistance +5","25,000 gp"
"85","Eyes of doom","25,000 gp"
"86","Pearl of power, 5th-level spell","25,000 gp"
"87","Maul of the titans","25,305 gp"
"88","Strand of prayer beads","25,800 gp"
"89","Cloak of the bat","26,000 gp"
"90","Iron bands of binding","26,000 gp"
"91","Cube of frost resistance","27,000 gp"
"92","Helm of telepathy","27,000 gp"
"93","Periapt of proof against poison","27,000 gp"
"94","Robe of scintillating colors","27,000 gp"
"95","Manual of bodily health +1","27,500 gp"
"96","Manual of gainful exercise +1","27,500 gp"
"97","Manual of quickness in action +1","27,500 gp"
"98","Tome of clear thought +1","27,500 gp"
"99","Tome of leadership and influence +1","27,500 gp"
"100","Tome of understanding +1","27,500 gp"

