"Playing Card","Tarot Card","Creature"
"Playing Card","Tarot Card","Creature"
"Playing Card","Tarot Card","Creature"
"Playing Card","Tarot Card","Creature"
"Playing Card","Tarot Card","Creature"
"Ace of hearts","IV. The Emperor","Red dragon"
"King of hearts","Knight of swords","Male human fighter and four guards"
"Queen of hearts","Queen of staves","Female human wizard"
"Jack of hearts","King of staves","Male human druid"
"Ten of hearts","VII. The Chariot","Cloud giant"
"Nine of hearts","Page of staves","Ettin"
"Eight of hearts","Ace of cups","Bugbear"
"Two of hearts","Five of staves","Goblin"
"Ace of diamonds","III. The Empress","Glabrezu (demon)"
"King of diamonds","Two of cups","Male elf wizard and female apprentice"
"Queen of diamonds","Queen of swords","Half-elf ranger (female)"
"Jack of diamonds","XIV. Temperance","Harpy"
"Ten of diamonds","Seven of staves","Male half-orc barbarian"
"Nine of diamonds","Four of pentacles","Ogre mage"
"Eight of diamonds","Ace of pentacles","Gnoll"
"Two of diamonds","Six of pentacles","Kobold"
"Ace of spades","II. The High Priestess","Lich"
"King of spades","Three of staves","Three male human clerics"
"Queen of spades","Four of cups","Medusa"
"Jack of spades","Knight of pentacles","Male dwarf paladin"
"Ten of spades","Seven of swords","Frost giant"
"Nine of spades","Three of swords","Troll"
"Eight of spades","Ace of swords","Hobgoblin"
"Two of spades","Five of cups","Goblin"
"Ace of clubs","VIII. Strength","Iron golem"
"King of clubs","Page of pentacles","Three male halfling rogues"
"Queen of clubs","Ten of cups","Pixies"
"Jack of clubs","Nine of pentacles","Female half-elf bard"
"Ten of clubs","Nine of staves","Hill giant"
"Nine of clubs","King of swords","Ogre"
"Eight of clubs","Ace of staves","Orc"
"Two of clubs","Five of cups","Kobold"
"Joker","Two of pentacles","Illusion of deck’s owner"
"Joker","Two of staves","Illusion of deck’s owner (sex reversed)"

