"d%","Contents","d%","Contents"
"01–50","Empty","89","Demon (glabrezu)"
"51–54","Large air elemental","90","Demon (succubus)"
"55–58","Arrowhawk","91","Devil (osyluth)"
"59–62","Large earth elemental","92","Devil (barbazu)"
"63–66","Xorn","93","Devil (erinyes)"
"67–70","Large fire elemental","94","Devil (cornugon)"
"71–74","Salamander","95","Celestial (avoral)"
"75–78","Large water elemental","96","Celestial (ghaele)"
"79–82","Adult tojanida","97","Formian myrmarch"
"83–84","Chaos Beast","98","Arrowhawk, elder"
"85–86","Formian taskmaster","99","Rakshasa"
"87","Demon (vrock)","100","Demon (balor) or devil (pit fiend)—equal chance for either"
"88","Demon (hezrou)"

