"d%","Result"
"01–08","Bag of 100 gold pieces"
"09–15","Coffer, silver (6 in. by 6 in. by 1 ft.), 500 gp value"
"16–22","Door, iron (up to 10 ft. wide and 10 ft. high and barred on one side—must be placed upright, attaches and
            hinges itself)"
"23–30","Gems, 10 (100 gp value each)"
"31–44","Ladder, wooden (24 ft. long)"
"45–51","Mule (with saddle bags)"
"52–59","Pit, open (10 ft. by 10 ft. by 10 ft.)"
"60–68","Potion of cure serious wounds"
"69–75","Rowboat (12 ft. long)"
"76–83","Minor scroll of one randomly determined spell"
"84–90","War dogs, pair (treat as riding dogs)"
"91–96","Window (2 ft. by 4 ft., up to 2 ft. deep)"
"97–100","Portable ram"

