"Intelligent Item Lesser Powers"
"d%","Lesser Power","Base Price Modifier"
"01–05","Item can bless its allies 3/day","+1,000 gp"
"06–10","Item can use faerie fire 3/day","+1,100 gp"
"11–13","Item can cast minor image 1/day","+2,200 gp"
"14–20","Item has deathwatch continually active","+2,700 gp"
"21–25","Item can use detect magic at will","+3,600 gp"
"26–31","Item has 10 ranks in Intimidate","+5,000 gp"
"32–33","Item has 10 ranks in Decipher Script","+5,000 gp"
"34–36","Item has 10 ranks in Knowledge (choose category)","+5,000 gp"
"37–40","Item has 10 ranks in Search","+5,000 gp"
"41–45","Item has 10 ranks in Spot","+5,000 gp"
"46–50","Item has 10 ranks in Listen","+5,000 gp"
"51–54","Item has 10 ranks in Spellcraft","+5,000 gp"
"55–60","Item has 10 ranks in Sense Motive","+5,000 gp"
"61–66","Item has 10 ranks in Bluff","+5,000 gp"
"67–72","Item has 10 ranks in Diplomacy","+5,000 gp"
"73–77","Item can cast major image 1/day","+5,400 gp"
"78–80","Item can cast darkness 3/day","+6,500 gp"
"81–83","Item can use hold person on an enemy 3/day","+6,500 gp"
"84–86","Item can activate zone of truth 3/day","+6,500 gp"
"87–89","Item can use daze monster 3/day","+6,500 gp"
"90–95","Item can use locate object 3/day","+6,500 gp"
"96–100","Item can use cure moderate wounds (2d8+3) on wielder 3/day","+6,500 gp"

