"Intelligent Item Greater Powers"
"d%","Greater Power","Base Price Modifier"
"01–06","Item can detect opposing alignment at will","+7,200 gp"
"07–10","Item can detect undead at will","+7,200 gp"
"11–13","Item can cause fear in an enemy at will","+7,200 gp"
"14–18","Item can use dimensional anchor on a foe 1/day","+10,000 gp"
"19–23","Item can use dismissal on a foe 1/day","+10,000 gp"
"24–28","Item can use lesser globe of invulnerability 1/day","+10,000 gp"
"29–33","Item can use arcane eye 1/day","+10,000 gp"
"34–37","Item has continuous detect scrying effect","+10,000 gp"
"38–41","Item creates wall of fire in a ring with the wielder at the center 1/day","+10,000 gp"
"42–45","Item can use quench on fires 3/day","+16,000 gp"
"46–50","Item has status effect, usable at will","+11,000 gp"
"51–54","Item can use gust of wind 3/day","+11,000 gp"
"55–59","Item can use clairvoyance 3/day","+16,000 gp"
"60–64","Item can create magic circle against opposing alignment at will","+16,000 gp"
"65–68","Item can use haste on its owner 3/day","+16,000 gp"
"69–73","Item can create daylight 3/day","+16,000 gp"
"74–76","Item can create deeper darkness 3/day","+16,000 gp"
"77–80","Item can use invisibility purge (30 ft. range) 3/day","+16,000 gp"
"81–85","Item can use slow on its enemies 3/day","+16,000 gp"
"86–91","Item can locate creature 3/day","+30,000 gp"
"91–97","Item can use fear against foes 3/day","+30,000 gp"
"98–100","Item can use detect thoughts at will","+44,000 gp"
"If the same power is rolled twice, roll again."

