"Intelligent Item Purpose"
"d%","Purpose"
"01–20","Defeat/slay diametrically opposed alignment*"
"21–30","Defeat/slay arcane spellcasters (including spellcasting monsters and those that use spell-like abilities)"
"31–40","Defeat/slay divine spellcasters (including divine entities and servitors)"
"41–50","Defeat/slay nonspellcasters"
"51–55","Defeat/slay a particular creature type (see the bane special ability for choices)"
"56–60","Defeat/slay a particular race or kind of creature"
"61–70","Defend a particular race or kind of creature"
"71–80","Defeat/slay the servants of a specific deity"
"81–90","Defend the servants and interests of a specific deity"
"91–95","Defeat/slay all (other than the item and the wielder)"
"96–100","Choose one"
"* The purpose of the neutral (N) version of this item is to preserve the balance by defeating/slaying
            powerful beings of the extreme alignments (LG, LE, CG, CE)."

