"d%","Drawback"
"01–04","Character’s hair grows 1 inch longer. Only happens once."
"05–09","Character either shrinks 1/2 inch (01–50 on d%) or grows that much taller (51–100). Only happens once."
"10–13","Temperature around item is 10°F cooler than normal."
"14–17","Temperature around item is 10°F warmer than normal."
"18–21","Character’s hair color changes."
"22–25","Character’s skin color changes."
"26–29","Character now bears some identifying mark (tattoo, weird glow, or the like)."
"30–32","Character’s gender changes."
"33–34","Character’s race or kind changes."
"35","Character is afflicted with a random disease that cannot be cured."
"36–39","Item continually emits a disturbing sound (moaning, weeping, screaming, cursing, insults)."
"40","Item looks ridiculous (garishly colored, silly shape, glows bright pink, . . .)."
"41–45","Character becomes selfishly possessive about the item."
"46–49","Character becomes paranoid about losing the item and afraid of damage occurring to it."
"50–51","Character’s alignment changes."
"52–54","Character must attack nearest creature (5% chance [01–05 on d%] each day)."
"55–57","Character is stunned for 1d4 rounds once item function is finished (or randomly, 1/day)."
"58–60","Character’s vision is blurry (–2 penalty on attack rolls, saves, and skill checks requiring vision)."
"61–64","Character gains one negative level."
"65","Character gains two negative levels."
"66–70","Character must make a Will save each day or take 1 point of Intelligence damage."
"71–75","Character must make a Will save each day or take 1 point of Wisdom damage."
"76–80","Character must make a Will save each day or take 1 point of Charisma damage."
"81–85","Character must make a Fortitude save each day or take 1 point of Constitution damage."
"86–90","Character must make a Fortitude save each day or take 1 point of Strength damage."
"91–95","Character must make a Fortitude save each day or take 1 point of Dexterity damage."
"96","Character is polymorphed into a specific creature (5% chance [01–05 on d%] each day)."
"97","Character cannot cast arcane spells."
"98","Character cannot cast divine spells."
"99","Character cannot cast any spells."
"100","Either pick one of the above that’s appropriate or create a drawback specifically for that item."

