"Deck of Many Things"
"Plaque","Tarot Card","Playing Card","Summary of Effect"
"Balance","XI. Justice","Two of spades","Change alignment instantly."
"Comet","Two of swords","Two of diamonds","Defeat the next monster you meet to gain one level."
"Donjon","Four of swords","Ace of spades","You are imprisoned ."
"Euryale","Ten of swords","Queen of spades","–1 penalty on all saving throws henceforth."
"The Fates","Three of cups","Ace of hearts","Avoid any situation you choose . . . once."
"Flames","XV. The Devil","Queen of clubs","Enmity between you and an outsider."
"Fool","0. The Fool","Joker (with trademark)","Lose 10,000 experience points and you must draw again."
"Gem","Seven of cups","Two of hearts","Gain your choice of twenty-five pieces of jewelry or fifty gems."
"Idiot","Two of pentacles","Two of clubs","Lose Intelligence (permanent drain). You may draw again."
"Jester","XII. The Hanged Man","Joker (without trademark)","Gain 10,000 XP or two more draws from the deck."
"Key","V. The Hierophant","Queen of hearts","Gain a major magic weapon."
"Knight","Page of swords","Jack of hearts","Gain the service of a 4th-level fighter."
"Moon","XVIII. The Moon","Queen of diamonds","You are granted 1d4 wishes."
"Rogue","Five of swords","Jack of spades","One of your friends turns against you."
"Ruin","XVI. The Tower","King of spades","Immediately lose all wealth and real property."
"Skull","XIII. Death","Jack of clubs","Defeat dread wraith or be forever destroyed."
"Star","XVII. The Star","Jack of diamonds","Immediately gain a +2 inherent bonus to one ability score."
"Sun","XIX. The Sun","King of diamonds","Gain beneficial medium wondrous item and 50,000 XP."
"Talons","Queen of pentacles","Ace of clubs","All magic items you possess disappear permanently."
"Throne","Four of staves","King of hearts","Gain a +6 bonus on Diplomacy checks plus a small keep."
"Vizier","IX. The Hermit","Ace of diamonds","Know the answer to your next dilemma."
"The Void","Eight of swords","King of clubs","Body functions, but soul is trapped elsewhere."

