"Monster PCs’ Ability Scores"
"Generated Score","Monster Ability Score (Str, Dex, Con, Wis, Cha)"
"1","2–3","4–5","6–7","8–9"
"18","8","10","12","14","16"
"17","7","9","11","13","15"
"16","6","8","10","12","14"
"15","5","7","9","11","13"
"14","4","6","8","10","12"
"13","3","5","7","9","11"
"12","2","4","6","8","10"
"11","1","3","5","7","9"
"10","1","2","4","6","8"
"9","1","2","4","6","7"
"8","1","2","4","5","6"
"7","1","1","3","5","5"
"6","1","1","2","4","4"
"5","1","1","1","3","3"
"4","1","1","1","2","2"
"3","1","1","1","1","1"

