"Black Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","T","4d12+4 (30)","11","10","13","8","11","8","+4/–4","+6","+5","+4","+4","2d4 (13)","—"
"Very young","S","7d12+7 (52)","13","10","13","8","11","8","+7/+4","+9","+6","+5","+5","4d4 (14)","—"
"Young","M","10d12+20 (85)","15","10","15","10","11","10","+10/+12","+12","+9","+7","+7","6d4 (17)","—"
"Juvenile","M","13d12+26 (110)","17","10","15","10","11","10","+13/+16","+16","+10","+8","+8","8d4 (18)","—"
"Young adult","L","16d12+48 (152)","19","10","17","12","13","12","+16/+24","+19","+13","+10","+11","10d4 (21)","19"
"Adult","L","19d12+76 (199)","23","10","19","12","13","12","+19/+29","+24","+15","+11","+12","12d4 (23)","20"
"Mature adult","H","22d12+110 (253)","27","10","21","14","15","14","+22/+38","+28","+18","+13","+15","14d4 (26)","23"
"Old","H","25d12+125 (287)","29","10","21","14","15","14","+25/+42","+32","+19","+14","+16","16d4 (27)","24"
"Very old","H","28d12+168 (350)","31","10","23","16","17","16","+28/+46","+36","+22","+16","+19","18d4 (30)","27"
"Ancient","H","31d12+186 (387)","33","10","23","16","17","16","+31/+50","+40","+23","+17","+20","20d4 (31)","28"
"Wyrm","G","34d12+238 (459)","35","10","25","18","19","18","+34/+58","+42","+26","+19","+23","22d4 (34)","31"
"Great wyrm","G","37d12+296 (536)","37","10","27","20","21","20","+37/+62","+46","+28","+20","+25","24d4 (36)","33"

