"Black Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","60 ft., fly 100 ft. (average), swim 60 ft.","+0","15 (+2 size,+3 natural), touch 12, flat-footed 15","Immunity to acid, water breathing","—","—"
"Very young","60 ft., fly 100 ft. (average), swim 60 ft.","+0","17 (+1 size,+6 natural), touch 11, flat-footed 17","","—","—"
"Young","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","19 (+9 natural), touch 10, flat-footed 19","","—","—"
"Juvenile","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","22 (+12 natural), touch 10, flat-footed 22","Darkness","—","—"
"Young adult","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","24 (–1 size,+15 natural), touch 9, flat-footed 24","DR 5/magic","1st","17"
"Adult","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","27 (–1 size,+18 natural), touch 9, flat-footed 27","Corrupt water","3rd","18"
"Mature adult","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","29 (–2 size,+21 natural), touch 8, flat-footed 29","DR 10/magic","5th","21"
"Old","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","32 (–2 size,+24 natural), touch 8, flat-footed 32","Plant growth","7th","22"
"Very old","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","35 (–2 size,+27 natural), touch 8, flat-footed 35","DR 15/magic","9th","23"
"Ancient","60 ft., fly 150 ft. (poor), swim 60 ft.","+0","38 (–2 size,+30 natural), touch 8, flat-footed 38","Insect plague","11th","25"
"Wyrm","60 ft., fly 200 ft. (clumsy), swim 60 ft.","+0","39 (–4 size,+33 natural), touch 6, flat-footed 39","DR 20/magic","13th","26"
"Great wyrm","60 ft., fly 200 ft. (clumsy), swim 60 ft.","+0","42 (–4 size,+36 natural), touch 6, flat-footed 42","Charm reptiles","15th","28"

