"Blue Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","S","6d12+6 (45)","13","10","13","10","11","10","+6/+3","+8","+6","+5","+5","2d8 (14)","—"
"Very young","M","9d12+18 (76)","15","10","15","10","11","10","+9/+11","+11","+8","+6","+6","4d8 (16)","—"
"Young","M","12d12+24 (102)","17","10","15","12","13","12","+12/+15","+15","+10","+8","+9","6d8 (18)","—"
"Juvenile","L","15d12+45 (142)","19","10","17","14","15","14","+15/+23","+18","+12","+9","+11","8d8 (20)","—"
"Young adult","L","18d12+72 (189)","23","10","19","14","15","14","+18/+28","+23","+15","+11","+13","10d8 (23)","21"
"Adult","H","21d12+105 (241)","27","10","21","16","17","16","+21/+37","+27","+17","+12","+15","12d8 (25)","23"
"Mature adult","H","24d12+120 (276)","29","10","21","16","17","16","+24/+41","+31","+19","+14","+17","14d8 (27)","25"
"Old","H","27d12+162 (337)","31","10","23","18","19","18","+27/+45","+35","+21","+15","+19","16d8 (29)","27"
"Very old","H","30d12+180 (375)","33","10","23","18","19","18","+30/+49","+39","+23","+17","+21","18d8 (31)","29"
"Ancient","G","33d12+231 (445)","35","10","25","20","21","20","+33/+57","+41","+25","+18","+23","20d8 (33)","31"
"Wyrm","G","36d12+288 (522)","37","10","27","20","21","20","+36/+61","+45","+28","+20","+25","22d8 (36)","33"
"Great wyrm","G","39d12+312 (565)","39","10","27","22","23","22","+39/+65","+49","+29","+21","+27","24d8 (37)","35"

