"Blue Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., burrow 20 ft., fly 100 ft. (average)","+0","16 (+1 size, +5 natural), touch 11, flat-footed 16","Immunity to electricity, create/destroy water","—","—"
"Very young","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","18 (+8 natural), touch 10, flat-footed 18","","—","—"
"Young","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","21 (+11 natural), touch 10, flat-footed 21","","—","—"
"Juvenile","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","23 (–1 size, +14 natural), touch 9, flat-footed 23","Sound imitation","1st","—"
"Young adult","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","26 (–1 size, +17 natural), touch 9, flat-footed 26","DR 5/magic","3rd","19"
"Adult","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","28 (–2 size, +20 natural), touch 8, flat-footed 28","Ventriloquism","5th","21"
"Mature adult","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","31 (–2 size, +23 natural), touch 8, flat-footed 31","DR 10/magic","7th","22"
"Old","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","34 (–2 size, +26 natural), touch 8, flat-footed 34","Hallucinatory terrain","9th","24"
"Very old","40 ft., burrow 20 ft., fly 150 ft. (poor)","+0","37 (–2 size, +29 natural), touch 8, flat-footed 37","DR 15/magic","11th","25"
"Ancient","40 ft., burrow 20 ft., fly 200 ft. (clumsy)","+0","38 (–4 size, +32 natural), touch 6, flat-footed 38","Veil","13th","27"
"Wyrm","40 ft., burrow 20 ft., fly 200 ft. (clumsy)","+0","41 (–4 size, +35 natural), touch 6, flat-footed 41","DR 20/magic","15th","29"
"Great wyrm","40 ft., burrow 20 ft., fly 200 ft. (clumsy)","+0","44 (–4 size, +38 natural), touch 6, flat-footed 44","Mirage arcana","17th","31"
"*Can also cast cleric spells and those from the Air, Evil, and Law domains as arcane spells."

