"Green Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","S","5d12+5 (37)","13","10","13","10","11","10","+5/+2","+7","+5","+4","+4","2d6 (13)","—"
"Very young","M","8d12+16 (68)","15","10","15","10","11","10","+8/+10","+10","+8","+6","+6","4d6 (16)","—"
"Young","M","11d12+22 (93)","17","10","15","12","13","12","+11/+14","+14","+9","+7","+8","6d6 (17)","—"
"Juvenile","L","14d12+42 (133)","19","10","17","14","15","14","+14/+22","+17","+12","+9","+11","8d6 (20)","—"
"Young adult","L","17d12+68 (178)","23","10","19","14","15","14","+17/+27","+22","+14","+10","+12","10d6 (22)","20"
"Adult","H","20d12+100 (230)","27","10","21","16","17","16","+20/+36","+26","+17","+12","+15","12d6 (25)","23"
"Mature adult","H","23d12+115 (264)","29","10","21","16","17","16","+23/+40","+30","+18","+13","+16","14d6 (26)","24"
"Old","H","26d12+156 (325)","31","10","23","18","19","18","+26/+44","+34","+21","+15","+19","16d6 (29)","27"
"Very old","H","29d12+174 (362)","33","10","23","18","19","18","+29/+48","+38","+22","+16","+20","18d6 (30)","28"
"Ancient","G","32d12+224 (432)","35","10","25","20","21","20","+32/+56","+40","+25","+18","+23","20d6 (33)","31"
"Wyrm","G","35d12+280 (507)","37","10","27","20","21","20","+35/+60","+44","+27","+19","+24","22d6 (35)","32"
"Great wyrm","G","38d12+304 (551)","39","10","27","22","23","22","+38/+64","+48","+29","+21","+27","24d6 (37)","35"

