"Green Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., fly 100 ft. (average), swim 40 ft","+0","15 (+1 size, +4 natural), touch 11, flat-footed 15","Immunity to acid, water breathing","—","—"
"Very young","40 ft., fly 150 ft. (poor), swim 40 ft","+0","17 (+7 natural), touch 10, flat-footed 17","","—","—"
"Young","40 ft., fly 150 ft. (poor), swim 40 ft","+0","20 (+10 natural), touch 10, flat-footed 20","","—","—"
"Juvenile","40 ft., fly 150 ft. (poor), swim 40 ft","+0","22 (–1 size, +13 natural), touch 9, flat-footed 22","1st","—",""
"Young adult","40 ft., fly 150 ft. (poor), swim 40 ft","+0","25 (–1 size, +16 natural), touch 9, flat-footed 25","DR 5/magic","3rd","19"
"Adult","40 ft., fly 150 ft. (poor), swim 40 ft","+0","27 (–2 size, +19 natural), touch 8, flat-footed 27","Suggestion","5th","21"
"Mature adult","40 ft., fly 150 ft. (poor), swim 40 ft","+0","30 (–2 size, +22 natural), touch 8, flat-footed 30","DR 10/magic","7th","22"
"Old","40 ft., fly 150 ft. (poor), swim 40 ft","+0","33 (–2 size, +25 natural), touch 8, flat-footed 33","Plant growth","9th","24"
"Very old","40 ft., fly 150 ft. (poor), swim 40 ft","+0","36 (–2 size, +28 natural), touch 8, flat-footed 36","DR 15/magic","11th","25"
"Ancient","40 ft., fly 200 ft. (clumsy), swim 40 ft","+0","37 (–4 size, +31 natural), touch 6, flat-footed 37","Dominate person","13th","27"
"Wyrm","40 ft., fly 200 ft. (clumsy), swim 40 ft","+0","40 (–4 size, +34 natural), touch 6, flat-footed 40","DR 20/magic","15th","28"
"Great wyrm","40 ft., fly 200 ft. (clumsy), swim 40 ft","+0","43 (–4 size, +37 natural), touch 6, flat-footed 43","Command plants","17th","30"

