"Red Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","M","7d12+14 (59)","17","10","15","10","11","10","+7/+10","+10","+7","+5","+5","2d10 (15)","—"
"Very young","L","10d12+30 (95)","21","10","17","12","13","12","+10/+19","+14","+10","+7","+8","4d10 (18)","—"
"Young","L","13d12+39 (123)","25","10","17","12","13","12","+13/+24","+19","+11","+8","+9","6d10 (19)","—"
"Juvenile","L","16d12+64 (168)","29","10","19","14","15","14","+16/+29","+24","+14","+10","+12","8d10 (22)","—"
"Young adult","H","19d12+95 (218)","31","10","21","14","15","14","+19/+37","+27","+16","+11","+13","10d10 (24)","21"
"Adult","H","22d12+110 (253)","33","10","21","16","19","16","+22/+41","+31","+18","+13","+17","12d10 (26)","24"
"Mature adult","H","25d12+150 (312)","33","10","23","18","19","18","+25/+44","+34","+20","+14","+18","14d10 (28)","26"
"Old","G","28d12+196 (378)","35","10","25","20","21","20","+28/+52","+36","+23","+16","+21","16d10 (31)","29"
"Very old","G","31d12+248 (449)","37","10","27","22","23","22","+31/+56","+40","+25","+17","+23","18d10 (33)","31"
"Ancient","G","34d12+306 (527)","39","10","29","24","25","24","+34/+60","+44","+28","+19","+26","20d10 (36)","34"
"Wyrm","G","37d12+370 (610)","41","10","31","24","25","24","+37/+64","+48","+30","+20","+27","22d10 (38)","35"
"Great wyrm","C","40d12+400 (660)","45","10","31","26","27","26","+40/+73","+49","+32","+22","+30","24d10 (40)","38"

