"Red Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., fly 150 ft. (poor)","+0","16 (+6 natural), touch 10, flat-footed 16","Immunity to fire, vulnerability to cold","—","—"
"Very young","40 ft., fly 150 ft. (poor)","+0","18 (–1 size, +9 natural), touch 9, flat-footed 18","","—","—"
"Young","40 ft., fly 150 ft. (poor)","+0","21 (–1 size, +12 natural), touch 9, flat-footed 21","","1st","—"
"Juvenile","40 ft., fly 150 ft. (poor)","+0","24 (–1 size, +15 natural), touch 9, flat-footed 24","Locate object","3rd","—"
"Young adult","40 ft., fly 150 ft. (poor)","+0","26 (–2 size, +18 natural), touch 8, flat-footed 26","DR 5/magic","5th","19"
"Adult","40 ft., fly 150 ft. (poor)","+0","29 (–2 size, +21 natural), touch 8, flat-footed 29","","7th","21"
"Mature adult","40 ft., fly 150 ft. (poor)","+0","32 (–2 size, +24 natural), touch 8, flat-footed 32","DR 10/magic","9th","23"
"Old","40 ft., fly 200 ft. (clumsy)","+0","33 (–4 size, +27 natural), touch 6, flat-footed 33","Suggestion","11th","24"
"Very old","40 ft., fly 200 ft. (clumsy)","+0","36 (–4 size, +30 natural), touch 6, flat-footed 36","DR 15/magic","13th","26"
"Ancient","40 ft., fly 200 ft. (clumsy)","+0","39 (–4 size, +33 natural), touch 6, flat-footed 39","Find the path","15th","28"
"Wyrm","40 ft., fly 200 ft. (clumsy)","+0","42 (–4 size, +36 natural), touch 6, flat-footed 42","DR 20/magic","17th","30"
"Great wyrm","40 ft., fly 200 ft. (clumsy)","+0","41 (–8 size, +39 natural), touch 2, flat-footed 41","Discern location","19th","32"
"*Can also cast cleric spells and those from the Chaos, Evil, and Fire domains as arcane spells."

