"White Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","T","3d12+3 (22)","11","10","13","6","11","6","+3/–5","+5","+4","+3","+3","1d6 (12)","—"
"Very young","S","6d12+6 (45)","13","10","13","6","11","6","+6/+3","+8","+6","+5","+5","2d6 (14)","—"
"Young","M","9d12+18 (76)","15","10","15","6","11","6","+9/+11","+11","+8","+6","+6","3d6 (16)","—"
"Juvenile","M","12d12+24 (102)","17","10","15","8","11","8","+12/+15","+15","+10","+8","+8","4d6 (18)","—"
"Young adult","L","15d12+45 (142)","19","10","17","8","11","10","+15/+23","+18","+12","+9","+9","5d6 (20)","17"
"Adult","L","18d12+72 (189)","23","10","19","10","11","12","+18/+28","+23","+15","+11","+11","6d6 (23)","20"
"Mature adult","H","21d12+105 (241)","27","10","21","12","13","12","+21/+37","+27","+17","+12","+13","7d6 (25)","21"
"Old","H","24d12+120 (276)","29","10","21","12","13","12","+24/+41","+31","+19","+14","+15","8d6 (27)","23"
"Very old","H","27d12+162 (337)","31","10","23","14","15","14","+27/+45","+35","+21","+15","+17","9d6 (29)","25"
"Ancient","H","30d12+180 (375)","33","10","23","14","15","14","+30/+49","+39","+23","+17","+19","10d6 (31)","27"
"Wyrm","G","33d12+231 (445)","35","10","25","14","15","16","+33/+57","+41","+25","+18","+20","11d6 (33)","29"
"Great wyrm","G","36d12+288 (522)","37","10","27","18","19","18","+36/+61","+45","+28","+20","+24","12d6 (36)","32"

