"White Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","60 ft., burrow 30 ft., fly 150 ft. (average), swim 60 ft.","+0","14 (+2 size, +2 natural), touch 12, flat-footed 14","Icewalking, immunity to cold, vulnerability to fire","—","—"
"Very young","60 ft., burrow 30 ft., fly 150 ft. (average), swim 60 ft.","+0","16 (+1 size, +5 natural), touch 11, flat-footed 16","","—","—"
"Young","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","18 (+8 natural), touch 10, flat-footed 18","","—","—"
"Juvenile","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","21 (+11 natural), touch 10, flat-footed 21","Fog cloud","—","—"
"Young adult","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","23 (–1 size, +14 natural), touch 9, flat-footed 23","DR 5/magic","—","16"
"Adult","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","26 (–1 size, +17 natural), touch 9, flat-footed 26","Gust of wind","1st","18"
"Mature adult","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","28 (–2 size, +20 natural), touch 8, flat-footed 28","DR 10/magic","3rd","20"
"Old","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","31 (–2 size, +23 natural), touch 8, flat-footed 31","Freezing fog","5th","21"
"Very old","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","34 (–2 size, +26 natural), touch 8, flat-footed 34","DR 15/magic","7th","23"
"Ancient","60 ft., burrow 30 ft., fly 200 ft. (poor), swim 60 ft.","+0","37 (–2 size, +29 natural), touch 8, flat-footed 37","Wall of ice","9th","24"
"Wyrm","60 ft., burrow 30 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","38 (–4 size, +32 natural), touch 6, flat-footed 38","DR 20/magic","11th","25"
"Great wyrm","60 ft., burrow 30 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","41 (–4 size, +35 natural), touch 6, flat-footed 41","Control weather","13th","27"

