"Brass Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","T","4d12+4 (30)","11","10","13","10","11","10","+4/–4","+6","+5","+4","+4","1d6 (13)","—"
"Very young","S","7d12+7 (52)","13","10","13","10","11","10","+7/+4","+9","+6","+5","+5","2d6 (14)","—"
"Young","M","10d12+20 (85)","15","10","15","12","13","12","+10/+12","+12","+9","+7","+8","3d6 (17)","—"
"Juvenile","M","13d12+26 (110)","17","10","15","12","13","12","+13/+16","+16","+10","+8","+9","4d6 (18)","—"
"Young adult","L","16d12+48 (152)","19","10","17","14","15","14","+16/+24","+19","+13","+10","+12","5d6 (21)","20"
"Adult","L","19d12+76 (199)","23","10","19","14","15","14","+19/+29","+24","+15","+11","+13","6d6 (23)","21"
"Mature adult","H","22d12+110 (253)","27","10","21","16","17","16","+22/+38","+28","+18","+13","+16","7d6 (26)","24"
"Old","H","25d12+125 (287)","29","10","21","16","17","16","+25/+42","+32","+19","+14","+17","8d6 (27)","25"
"Very old","H","28d12+168 (350)","31","10","23","18","19","18","+28/+46","+36","+22","+16","+20","9d6 (30)","28"
"Ancient","H","31d12+186 (387)","33","10","23","18","19","18","+31/+50","+40","+23","+17","+21","10d6 (31)","29"
"Wyrm","G","34d12+238 (459)","35","10","25","20","21","20","+34/+58","+42","+26","+19","+24","11d6 (34)","32"
"Great wyrm","G","37d12+296 (536)","37","10","27","20","21","20","+37/+62","+46","+28","+20","+25","12d6 (36)","33"

