"Brass Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","60 ft., burrow 30 ft., fly 150 ft. (average)","+0","15 (+2 size, +3 natural), touch 12, flat-footed 15","Immunity to fire, speak with animals, vulnerability to cold","—","—"
"Very young","60 ft., burrow 30 ft., fly 150 ft. (average)","+0","17 (+1 size, +6 natural), touch 11, flat-footed 17","","—","—"
"Young","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","19 (+9 natural), touch 10, flat-footed 19","","1st","—"
"Juvenile","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","22 (+12 natural), touch 10, flat-footed 22","Endure elements","3rd","—"
"Young adult","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","24 (–1 size, +15 natural), touch 9, flat-footed 24","DR 5/magic","5th","18"
"Adult","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","27 (–1 size, +18 natural), touch 9, flat-footed 27","Suggestion","7th","20"
"Mature adult","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","29 (–2 size, +21 natural), touch 8, flat-footed 29","DR 10/magic","9th","22"
"Old","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","32 (–2 size, +24 natural), touch 8, flat-footed 32","Control winds","11th","24"
"Very old","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","35 (–2 size, +27 natural), touch 8, flat-footed 35 DR","15/magic","13th","25"
"Ancient","60 ft., burrow 30 ft., fly 200 ft. (poor)","+0","38 (–2 size, +30 natural), touch 8, flat-footed 38","Control weather","15th","27"
"Wyrm","60 ft., burrow 30 ft., fly 250 ft. (clumsy)","+0","39 (–4 size, +33 natural), touch 6, flat-footed 39","DR 20/magic","17th","28"
"Great wyrm","60 ft., burrow 30 ft., fly 250 ft. (clumsy)","+0","42 (–4 size, +36 natural), touch 6, flat-footed 42","Summon djinni","19th","30"
"*Can also cast cleric spells and those from the Chaos and Knowledge domains as arcane spells."

