"Bronze Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","S","6d12+6 (45)","13","10","13","14","15","14","+6/+3","+8","+6","+5","+7","2d6 (14)","—"
"Very young","M","9d12+18 (76)","15","10","15","14","15","14","+9/+11","+11","+8","+6","+8","4d6 (16)","—"
"Young","M","12d12+24 (102)","17","10","15","16","17","16","+12/+15","+15","+10","+8","+11","6d6 (18)","—"
"Juvenile","L","15d12+45 (142)","19","10","17","18","19","18","+15/+23","+18","+12","+9","+13","8d6 (20)","—"
"Young adult","L","18d12+72 (189)","23","10","19","18","19","18","+18/+28","+23","+15","+11","+15","10d6 (23)","23"
"Adult","H","21d12+105 (241)","27","10","21","20","21","20","+21/+37","+27","+17","+12","+17","12d6 (25)","25"
"Mature adult","H","24d12+120 (276)","29","10","21","20","21","20","+24/+41","+31","+19","+14","+19","14d6 (27)","27"
"Old","H","27d12+162 (337)","31","10","23","22","23","22","+27/+45","+35","+21","+15","+21","16d6 (29)","29"
"Very old","H","30d12+180 (375)","33","10","23","22","23","22","+30/+49","+39","+23","+17","+23","18d6 (31)","31"
"Ancient","G","33d12+231 (445)","35","10","25","24","25","24","+33/+57","+41","+25","+18","+25","20d6 (33)","33"
"Wyrm","G","36d12+288 (522)","37","10","27","26","27","26","+36/+61","+45","+28","+20","+28","22d6 (36)","36"
"Great wyrm","G","39d12+312 (565)","39","10","27","26","27","26","+39/+65","+49","+29","+21","+29","24d6 (37)","37"

