"Bronze Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., fly 100 ft. (average), swim 60 ft.","+0","16 (+1 size, +5 natural), touch 11, flat-footed 16","Immunity to electricity, water breathing, speak with animals","—","—"
"Very young","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","18 (+8 natural), touch 10, flat-footed 18","","—","—"
"Young","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","21 (+11 natural), touch 10, flat-footed 21","Alternate form","1st","—"
"Juvenile","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","23 (–1 size, +14 natural), touch 9, flat-footed 23","","3rd","—"
"Young adult","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","26 (–1 size, +17 natural), touch 9, flat-footed 26","DR 5/magic","5th","20"
"Adult","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","28 (–2 size, +20 natural), touch 8, flat-footed 28","Create food and water, fog cloud","7th","22"
"Mature adult","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","31 (–2 size, +23 natural), touch 8, flat-footed 31","DR 10/magic","9th","23"
"Old","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","34 (–2 size, +26 natural), touch 8, flat-footed 34","Detect thoughts","11th","25"
"Very old","40 ft., fly 150 ft. (poor), swim 60 ft.","+0","37 (–2 size, +29 natural), touch 8, flat-footed 37","DR 15/magic","13th","26"
"Ancient","40 ft., fly 200 ft. (clumsy), swim 60 ft.","+0","38 (–4 size, +32 natural), touch 6, flat-footed 38","Control water","15th","28"
"Wyrm","40 ft., fly 200 ft. (clumsy), swim 60 ft.","+0","41 (–4 size, +35 natural), touch 6, flat-footed 41","DR 20/magic","17th","29"
"Great wyrm","40 ft., fly 200 ft. (clumsy), swim 60 ft.","+0","44 (–4 size, +38 natural), touch 6, flat-footed 44","Control weather","19th","31"
"*Can also cast cleric spells and those from the Animal, Law, and Water domains as arcane spells."

