"Copper Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","T","5d12+5 (37)","11","10","13","12","13","12","+5/–3","+7","+5","+4","+5","2d4 (13)","—"
"Very young","S","8d12+8 (60)","13","10","13","12","13","12","+8/+5","+10","+7","+6","+7","4d4 (15)","—"
"Young","M","11d12+22 (93)","15","10","15","14","15","14","+11/+13","+13","+9","+7","+9","6d4 (17)","—"
"Juvenile","M","14d12+28 (119)","17","10","15","14","15","14","+14/+17","+17","+11","+9","+11","8d4 (19)","—"
"Young adult","L","17d12+51 (161)","19","10","17","16","17","16","+17/+25","+20","+13","+10","+13","10d4 (21)","21"
"Adult","L","20d12+80 (210)","23","10","19","16","17","16","+20/+30","+25","+16","+12","+15","12d4 (24)","23"
"Mature adult","H","23d12+115 (264)","27","10","21","18","19","18","+23/+39","+29","+18","+13","+17","14d4 (26)","25"
"Old","H","26d12+130 (299)","29","10","21","18","19","18","+26/+43","+33","+20","+15","+19","16d4 (28)","27"
"Very old","H","29d12+174 (362)","31","10","23","20","21","20","+29/+47","+37","+22","+16","+21","18d4 (30)","29"
"Ancient","H","32d12+192 (400)","33","10","23","20","21","20","+32/+51","+41","+24","+18","+23","20d4 (32)","31"
"Wyrm","G","35d12+245 (472)","35","10","25","22","23","22","+35/+59","+43","+26","+19","+25","22d4 (34)","33"
"Great wyrm","G","38d12+304 (551)","37","10","27","22","23","22","+38/+63","+47","+29","+21","+27","24d4 (37)","35"

