"Copper Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., fly 100 ft. (average)","+0","16 (+2 size, +4 natural), touch 12, flat-footed 16","Immunity to acid, spider climb","—","—"
"Very young","40 ft., fly 100 ft. (average)","+0","18 (+1 size, +7 natural), touch 11, flat-footed 18","","—","—"
"Young","40 ft., fly 150 ft. (poor)","+0","20 (+10 natural), touch 10, flat-footed 20","","1st","—"
"Juvenile","40 ft., fly 150 ft. (poor)","+0","23 (+13 natural), touch 10, flat-footed 23","","3rd","—"
"Young adult","40 ft., fly 150 ft. (poor)","+0","25 (–1 size, +16 natural), touch 9, flat-footed 25","DR 5/magic","5th","19"
"Adult","40 ft., fly 150 ft. (poor)","+0","28 (–1 size, +19 natural), touch 9, flat-footed 28","Stone shape","7th","21"
"Mature adult","40 ft., fly 150 ft. (poor)","+0","30 (–2 size, +22 natural), touch 8, flat-footed 30","DR 10/magic","9th","23"
"Old","40 ft., fly 150 ft. (poor)","+0","33 (–2 size, +25 natural), touch 8, flat-footed 33","Transmute rock to mud/mud to rock","11th","25"
"Very old","40 ft., fly 150 ft. (poor)","+0","36 (–2 size, +28 natural), touch 8, flat-footed 36","DR 15/magic","13th","26"
"Ancient","40 ft., fly 150 ft. (poor)","+0","39 (–2 size, +31 natural), touch 8, flat-footed 39","Wall of stone","15th","28"
"Wyrm","40 ft., fly 200 ft. (clumsy)","+0","40 (–4 size, +34 natural), touch 6, flat-footed 40","DR 20/magic","17th","29"
"Great wyrm","40 ft., fly 200 ft. (clumsy)","+0","43 (–4 size, +37 natural), touch 6, flat-footed 43","Move earth","19th","31"
"*Can also cast cleric spells and those from the Chaos, Earth, and Trickery domains as arcane spells."

