"Gold Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","M","8d12+16 (68)","17","10","15","14","15","14","+8/+11","+11","+8","+6","+8","2d10 (16)","—"
"Very young","L","11d12+33 (104)","21","10","17","16","17","16","+11/+20","+15","+10","+7","+10","4d10 (18)","—"
"Young","L","14d12+42 (133)","25","10","17","16","17","16","+14/+25","+20","+12","+9","+12","6d10 (20)","—"
"Juvenile","L","17d12+68 (178)","29","10","19","18","19","18","+17/+30","+25","+14","+10","+14","8d10 (22)","—"
"Young adult","H","20d12+100 (230)","31","10","21","18","19","18","+20/+38","+28","+17","+12","+16","10d10 (25)","24"
"Adult","H","23d12+115 (264)","33","10","21","20","21","20","+23/+42","+32","+18","+13","+18","12d10 (26)","26"
"Mature adult","H","26d12+156 (325)","35","10","23","20","21","20","+26/+46","+36","+21","+15","+20","14d10 (29)","28"
"Old","G","29d12+203 (391)","39","10","25","24","25","24","+29/+55","+39","+23","+16","+23","16d10 (31)","31"
"Very old","G","32d12+256 (464)","41","10","27","26","27","26","+32/+59","+43","+26","+18","+26","18d10 (34)","34"
"Ancient","G","35d12+315 (542)","43","10","29","28","29","28","+35/+63","+47","+28","+19","+28","20d10 (36)","36"
"Wyrm","C","38d12+380 (627)","45","10","31","30","31","30","+38/+71","+47","+31","+21","+31","22d10 (39)","39"
"Great wyrm","C","41d12+451 (717)","47","10","33","32","33","32","+41/+75","+51","+33","+22","+33","24d10 (41)","41"

