"Gold Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","17 (+7 natural), touch 10, flat-footed 17","Alternate form, immunity to fire, vulnerability to cold, water breathing","—","—"
"Very young","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","19 (–1 size, +10 natural), touch 9, flat-footed 19","","—","—"
"Young","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","22 (–1 size, +13 natural), touch 9, flat-footed 22","1st","—",""
"Juvenile","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","25 (–1 size, +16 natural), touch 9, flat-footed 25","Bless","3rd","—"
"Young adult","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","27 (–2 size, +19 natural), touch 8, flat-footed 27","DR 5/magic","5th","21"
"Adult","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","30 (–2 size, +22 natural), touch 8, flat-footed 30","Luck bonus","7th","23"
"Mature adult","60 ft., fly 200 ft. (poor), swim 60 ft.","+0","33 (–2 size, +25 natural), touch 8, flat-footed 33","DR 10/magic","9th","25"
"Old","60 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","34 (–4 size, +28 natural), touch 6, flat-footed 34","Geas/quest, detect gems","11th","27"
"Very old","60 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","37 (–4 size, +31 natural), touch 6, flat-footed 37","DR 15/magic","13th","28"
"Ancient","60 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","40 (–4 size, +34 natural), touch 6, flat-footed 40","Sunburst 15th","30",""
"Wyrm","60 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","39 (–8 size, +37 natural), touch 2, flat-footed 39","DR 20/magic","17th","31"
"Great wyrm","60 ft., fly 250 ft. (clumsy), swim 60 ft.","+0","42 (–8 size, +40 natural), touch 2, flat-footed 42","Foresight","19th","33"
"*Can also cast cleric spells and those from the Law, Luck, and Good domains as arcane spells."

