"Silver Dragons by Age"
"Age","Size","Hit Dice (hp)","Str","Dex","Con","Int","Wis","Cha","Base Attack/ Grapple","Attack","Fort Save","Ref Save","Will Save","Breath Weapon (DC)","Frightful Presence DC"
"Wyrmling","S","7d12+7 (52)","13","10","13","14","15","14","+7/+4","+9","+6","+5","+7","2d8 (14)","—"
"Very young","M","10d12+20 (85)","15","10","15","14","15","14","+10/+12","+12","+9","+7","+9","4d8 (17)","—"
"Young","M","13d12+26 (110)","17","10","15","16","17","16","+13/+16","+16","+10","+8","+11","6d8 (18)","—"
"Juvenile","L","16d12+48 (152)","19","10","17","18","19","18","+16/+24","+19","+13","+10","+14","8d8 (21)","—"
"Young adult","L","19d12+76 (199)","23","10","19","18","19","18","+19/+29","+24","+15","+11","+15","10d8 (23)","23"
"Adult","H","22d12+110 (253)","27","10","21","20","21","20","+22/+38","+28","+18","+13","+18","12d8 (26)","26"
"Mature adult","H","25d12+125 (287)","29","10","21","20","21","20","+25/+42","+32","+19","+14","+19","14d8 (27)","27"
"Old","H","28d12+168 (350)","31","10","23","22","23","22","+28/+46","+36","+22","+16","+22","16d8 (30)","30"
"Very old","H","31d12+186 (387)","33","10","23","24","25","24","+31/+50","+40","+23","+17","+24","18d8 (31)","32"
"Ancient","G","34d12+238 (459)","35","10","25","26","27","26","+34/+58","+42","+26","+19","+27","20d8 (34)","35"
"Wyrm","G","37d12+333 (573)","39","10","29","28","29","28","+37/+63","+47","+29","+20","+29","22d8 (37)","37"
"Great wyrm","C","40d12+400 (660)","43","10","31","30","31","30","+40/+72","+48","+32","+22","+32","24d8 (40)","40"

