"Silver Dragon Abilities by Age"
"Age","Speed","Initiative","AC","Special Abilities","Caster Level","SR"
"Wyrmling","40 ft., fly 100 ft. (average)","+0","17 (+1 size, +6 natural), touch 11, flat-footed 17","Alternate form, immunity to acid and cold, cloudwalking, vulnerability to fire","—","—"
"Very young","40 ft., fly 150 ft. (poor)","+0","19 (+9 natural), touch 10, flat-footed 19","","—","—"
"Young","40 ft., fly 150 ft. (poor)","+0","22 (+12 natural), touch 10, flat-footed 22","","1st","—"
"Juvenile","40 ft., fly 150 ft. (poor)","+0","24 (–1 size, +15 natural), touch 9, flat-footed 24","Feather fall","3rd","—"
"Young adult","40 ft., fly 150 ft. (poor)","+0","27 (–1 size, +18 natural), touch 9, flat-footed 27","DR 5/magic","5th","20"
"Adult","40 ft., fly 150 ft. (poor)","+0","29 (–2 size, +21 natural), touch 8, flat-footed 29","Fog cloud","7th","22"
"Mature adult","40 ft., fly 150 ft. (poor)","+0","32 (–2 size, +24 natural), touch 8, flat-footed 32","DR 10/magic","9th","24"
"Old","40 ft., fly 150 ft. (poor)","+0","35 (–2 size, +27 natural), touch 8, flat-footed 35","Control winds","11th","26"
"Very old","40 ft., fly 150 ft. (poor)","+0","38 (–2 size, +30 natural), touch 8, flat-footed 38","DR 15/magic","13th","27"
"Ancient","40 ft., fly 200 ft. (clumsy)","+0","39 (–4 size, +33 natural), touch 6, flat-footed 39","Control weather","15th","29"
"Wyrm","40 ft., fly 200 ft. (clumsy)","+0","42 (–4 size, +36 natural), touch 6, flat-footed 42","DR 20/magic","17th","30"
"Great wyrm","40 ft., fly 200 ft. (clumsy)","+0","41 (–8 size, +39 natural), touch 2, flat-footed 41","Reverse gravity","19th","32"
"*Can also cast cleric spells and those from the Air, Good, Law, and Sun domains as arcane spells."

