"","Medium Construct (Extraplanar, Lawful)"
"Hit Dice:","13d10+20 (91 hp)"
"Initiative:","+1"
"Speed:","20 ft. in banded mail (4 squares); base speed 30 ft."
"Armor Class:","27 (+1 Dex, +10 natural, +6 banded mail) touch 11, flat-footed 26"
"Base Attack/Grapple:","+9/+11"
"Attack:","Vampiric touch +11 melee touch (5d6) or enervation ray +10 ranged touch (as spell) or +2 longsword +13 melee (1d8+5/19–20) or slam +11 melee (1d6+3)"
"Full Attack:","Vampiric touch +11/+6 melee touch (5d6) or enervation ray +10 ranged touch (as spell) or +2 longsword +13/+8 melee (1d8+5/19–20) or slam +11/+6 melee (1d6+3)"
"Space/Reach:","5 ft./5 ft."
"Special Attacks:","Enervation ray, spell-like abilities, vampiric touch"
"Special Qualities:","Construct traits, damage reduction 10/chaotic, darkvision 60 ft., fast healing 5, low-light vision, spell
            resistance 22"
"Saves:","Fort +6, Ref +7, Will +7"
"Abilities:","Str 14, Dex 13, Con —, Int 10, Wis 17, Cha 16"
"Skills:","Diplomacy +5, Disguise +12, Gather Information +12, Listen +11, Search +5, Sense Motive +12, Spot +11,
            Survival +3 (+5 following tracks)"
"Feats:","Alertness, Combat Casting, Great Fortitude, Lightning Reflexes, Quickened Spell-Like Ability
            ( suggestion )"
"Environment:","A lawful-aligned plane"
"Organization:","Solitary"
"Challenge Rating:","12"
"Treasure:","None"
"Alignment:","Always lawful neutral"
"Advancement:","14–22 HD (Medium); 23–39 HD (Large)"
"Level Adjustment:","—"

