"Table: The Adept"
"Spells per Day"
"NPC Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","0","1st","2nd","3rd","4th","5th"
"","","","","",""
"1st","+0","+0","+0","+2","","3","1","—","—","—","—"
"2nd","+1","+0","+0","+3","Summon familiar","3","1","—","—","—","—"
"3rd","+1","+1","+1","+3","","3","2","—","—","—","—"
"4th","+2","+1","+1","+4","","3","2","0","—","—","—"
"5th","+2","+1","+1","+4","","3","2","1","—","—","—"
"6th","+3","+2","+2","+5","","3","2","1","—","—","—"
"7th","+3","+2","+2","+5","","3","3","2","—","—","—"
"8th","+4","+2","+2","+6","","3","3","2","0","—","—"
"9th","+4","+3","+3","+6","","3","3","2","1","—","—"
"10th","+5","+3","+3","+7","","3","3","2","1","—","—"
"11th","+5","+3","+3","+7","","3","3","3","2","—","—"
"12th","+6/+1","+4","+4","+8","","3","3","3","2","0","—"
"13th","+6/+1","+4","+4","+8","","3","3","3","2","1","—"
"14th","+7/+2","+4","+4","+9","","3","3","3","2","1","—"
"15th","+7/+2","+5","+5","+9","","3","3","3","3","2","—"
"16th","+8/+3","+5","+5","+10","","3","3","3","3","2","0"
"17th","+8/+3","+5","+5","+10","","3","3","3","3","2","1"
"18th","+9/+4","+6","+6","+11","","3","3","3","3","2","1"
"19th","+9/+4","+6","+6","+11","","3","3","3","3","3","2"
"20th","+10/+5","+6","+6","+12","","3","3","3","3","3","2"

