"Table: The Commoner"
"NPC Level","Base Attack Bonus","Fort Save","Ref Save","Will Save"
"1st","+0","+0","+0","+0"
"2nd","+1","+0","+0","+0"
"3rd","+1","+1","+1","+1"
"4th","+2","+1","+1","+1"
"5th","+2","+1","+1","+1"
"6th","+3","+2","+2","+2"
"7th","+3","+2","+2","+2"
"8th","+4","+2","+2","+2"
"9th","+4","+3","+3","+3"
"10th","+5","+3","+3","+3"
"11th","+5","+3","+3","+3"
"12th","+6/+1","+4","+4","+4"
"13th","+6/+1","+4","+4","+4"
"14th","+7/+2","+4","+4","+4"
"15th","+7/+2","+5","+5","+5"
"16th","+8/+3","+5","+5","+5"
"17th","+8/+3","+5","+5","+5"
"18th","+9/+4","+6","+6","+6"
"19th","+9/+4","+6","+6","+6"
"20th","+10/+5","+6","+6","+6"

