"Table: The Dragon Disciple"
"Level","Base Attack Bonus","Fort Save","Ref Save","Will Save","Special","Bonus Spells"
"1st","+0","+2","+0","+2","Natural armor increase (+1)","1"
"2nd","+1","+3","+0","+3","Ability boost (Str +2), claws and bite","1"
"3rd","+2","+3","+1","+3","Breath weapon (2d8)","0"
"4th","+3","+4","+1","+4","Ability boost (Str +2), natural armor increase (+2)","1"
"5th","+3","+4","+1","+4","Blindsense 30 ft.","1"
"6th","+4","+5","+2","+5","Ability boost (Con +2)","1"
"7th","+5","+5","+2","+5","Breath weapon (4d8), natural armor increase (+3)","0"
"8th","+6","+6","+2","+6","Ability boost (Int +2)","1"
"9th","+6","+6","+3","+6","Wings","1"
"10th","+7","+7","+3","+7","Blindsense 60 ft., dragon apotheosis","0"

